period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
2024-01,33,11,22,0.3333333333333333,0.2893269174781654,1.2889685096977785,0.6444843271805584,-1.6441259194001716,-1.6441259194001716,18.355874080599808,18.355874080599826,18.355874080599808,3.116685089694556,0.14885582639620423
2024-02,30,16,14,0.5333333333333333,3.7028443573010574,1.1662202434569484,0.5831110474395034,1.9535130664046056,0.30938714700443404,20.30938714700439,20.30938714700442,20.30938714700439,0.8404288007446254,0.044819889089919754
2024-03,57,16,41,0.2807017543859649,-1.2228807485220399,2.0495018299051395,1.0247506092322682,-4.297133187659448,-3.9877460406550136,-2.8421709430404007e-13,16.01225395934496,16.268999635291124,4.950147110449169,0.24093049505548286
2024-04,36,9,27,0.25,-1.1308549360442541,1.0325134072329736,0.5162564209026996,-2.679624764179928,-6.667370804834942,-3.304023721284466e-13,13.332629195165035,13.286694224156271,3.1858663624529306,0.19595243346531957
2024-05,35,14,21,0.4,1.1339066215740667,0.9434734979636175,0.471737032458415,-0.2813039088479657,-6.948674713682908,13.051325286317036,13.05132528631707,13.051325286317036,1.16208292579881,0.08263425639451441
2024-06,19,5,14,0.2631578947368421,-0.3960052191637228,0.478459049173963,0.23922942558564395,-1.1136936939233297,-8.062368407606238,11.9376315923937,11.937631592393739,11.9376315923937,1.7172312364568647,0.12797854496790165
2024-07,39,14,25,0.358974358974359,0.5367174392753331,0.9071686818424662,0.45358447510054395,-0.8240357176676771,-8.886404125273915,11.113595874726018,11.113595874726066,11.113595874726018,1.3879830203853736,0.11140172570190907
2024-08,38,10,28,0.2631578947368421,-0.6875732517478748,0.7521268877741941,0.3760632719937442,-1.815763411515813,-10.702167536789727,-4.991562718714704e-13,9.297832463210252,9.244866721373509,1.9532229146462186,0.1748505346012708
2024-09,38,11,27,0.2894736842105263,-0.31080057101947084,0.6483869249760373,0.3241933847878405,-1.2833808807833487,-11.985548417573074,8.014451582426865,8.014451582426899,8.014451582426865,1.3383947310666162,0.1443458988682754
2024-10,35,12,23,0.34285714285714286,0.16953965213915442,0.5288937578015246,0.2644469212856433,-0.6238010269480134,-12.609349444521088,7.390650555478855,7.390650555478887,7.390650555478855,0.9309516505967421,0.11564247154713761
2024-11,37,15,22,0.40540540540540543,0.6889771031784925,0.5403000712043657,0.2701502078464275,-0.12147317587230076,-12.73082262039339,-6.004086117172847e-13,7.269177379606585,7.220314657693461,0.6013765128904636,0.07893961510415176
2024-12,39,9,30,0.23076923076923078,-0.6730354070491621,0.5114034535348579,0.2557015585085474,-1.4401404190925675,-14.170963039485958,5.829036960513988,5.829036960514018,5.829036960513988,1.5737794747545344,0.21611954376121004
