investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
06_mean_reversion,ret6_Q1_bull,full,1h,11393,0.00010771556797201584,0.0001353687708787188,0.002823602934984626,0.0027068653798707487,0.006584008589340463,0.2706047573071184,0.08031247257087686,0.013165979109979813,0.07759150355481435,0.09856929693671553,0.8238391995084701,30.0,40.0,45.0,0.00025524084121641977,0.004996610894607706
06_mean_reversion,ret6_Q1_bull,full,2h,11393,3.4836988751373714e-05,0.0002143050706435723,0.003934011955205374,0.003967353921742078,0.009712842316829945,0.4086719915737734,0.16949003774247345,0.03642587553761081,0.16080049152988676,0.176511893267796,0.6626876152023172,45.0,65.0,75.0,0.0002672172083501012,0.015360871278981114
06_mean_reversion,ret6_Q1_bull,full,4h,11393,0.00024208426666875906,0.00016536501048358687,0.005907519378103299,0.005713150100800868,0.014141900133381445,0.5541999473360836,0.29974545773720707,0.08742210129026595,0.2770999736680418,0.2783287983849732,0.444571227946985,65.0,110.0,145.0,0.0001871744715972179,0.024052879783643955
06_mean_reversion,ret6_Q1_bull,full,12h,11370,0.0011782821641448072,0.0008402338303287182,0.01105711838712431,0.010512977265833556,0.026176778064813847,0.7431838170624451,0.5420404573438874,0.26226912928759893,0.44538258575197887,0.43016710642040457,0.12445030782761654,105.0,215.0,340.0,0.000169081360173573,0.007353359984713148
06_mean_reversion,ret6_Q1_bull,thinned144,15m,70,-1.9567668710807062e-05,7.931993817789085e-05,0.001674475521920904,0.001251163477250461,0.003679237463684689,0.05714285714285714,0.02857142857142857,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.9571428571428572,10.0,12.5,15.0,0.00011981131311178395,0.018845711634404818
06_mean_reversion,ret6_Q1_bull,thinned144,30m,70,0.0006004170198252057,-2.7998436956111483e-06,0.002168900266646845,0.0022907098266333192,0.004938244373083286,0.14285714285714285,0.04285714285714286,0.014285714285714285,0.04285714285714286,0.05714285714285714,0.9,25.0,15.0,15.0,6.615050076569373e-05,0.013001868663306642
06_mean_reversion,ret6_Q1_bull,thinned144,1h,70,0.0008569081702644064,0.0006423971568022546,0.003387464106943572,0.0029129392112536845,0.0072645496419792045,0.3,0.08571428571428572,0.02857142857142857,0.07142857142857142,0.08571428571428572,0.8428571428571429,35.0,32.5,25.0,0.0007622692271399556,-0.0011663212316352228
06_mean_reversion,ret6_Q1_bull,thinned144,2h,70,-0.0002518851362958501,-0.0004436497630983527,0.004602078356569006,0.00607915645530499,0.011689861834009673,0.45714285714285713,0.22857142857142856,0.04285714285714286,0.21428571428571427,0.24285714285714285,0.5428571428571428,47.5,67.5,35.0,-0.0003907376253918238,0.06884609403480862
06_mean_reversion,ret6_Q1_bull,thinned144,4h,70,0.0005823313606415034,-0.001585724830453883,0.008091921983630623,0.007932404309367036,0.018439315784506,0.6571428571428571,0.4,0.12857142857142856,0.35714285714285715,0.3142857142857143,0.32857142857142857,65.0,107.5,155.0,-0.0015639153693402519,0.10409576325845932
06_mean_reversion,ret6_Q1_bull,thinned144,12h,70,0.00397938702869084,0.0019299145152301689,0.010997857386042753,0.01098919725147407,0.02641464722331093,0.7857142857142857,0.5428571428571428,0.2857142857142857,0.4,0.44285714285714284,0.15714285714285714,70.0,135.0,295.0,0.0012587620450750237,-0.038029225767265695
06_mean_reversion,ret6_Q1_bear,full,15m,14946,6.260827109872562e-05,0.0002916028993246167,0.0017634454418746781,0.0016682474129213198,0.004088001304242821,0.11387662250769437,0.019135554663455106,0.0018065034122842231,0.018265756724207147,0.03800347919175699,0.9437307640840359,10.0,10.0,10.0,0.00019788347616056523,0.008310161517491681
06_mean_reversion,ret6_Q1_bear,full,30m,14944,0.00010669452129018107,0.00038942358698634827,0.002463233354258687,0.0023755202337644166,0.005763450770341379,0.20891327623126338,0.04583779443254818,0.004282655246252677,0.04369646680942184,0.08137044967880086,0.8749330835117773,15.0,20.0,20.0,0.00022351841210410672,0.018187504200937777
06_mean_reversion,ret6_Q1_bear,full,1h,14943,0.00029351183151802375,0.0007873967247580271,0.0034760595363785285,0.0032753588063429984,0.007992025821150604,0.3417653750920163,0.09810613665261327,0.013116509402395771,0.09322090610988423,0.14274242120056213,0.7640366726895537,25.0,35.0,40.0,0.0004494329777456896,0.03424706713198928
06_mean_reversion,ret6_Q1_bear,full,2h,14938,0.0005338045954576987,0.0009399664428992871,0.004843540574694383,0.004595279757000192,0.011045989019027432,0.48654438345159995,0.187039764359352,0.03722051144731557,0.17237916722452806,0.22138171107243274,0.6062391217030392,40.0,60.0,75.0,0.0004140957223138786,0.05142091333998913
06_mean_reversion,ret6_Q1_bear,full,4h,14929,0.0009575809504769557,0.0014000540045016052,0.0066782012515562705,0.0064581290142115,0.015255797324625014,0.6231495746533592,0.3166320584098064,0.0937772121374506,0.2797910107843794,0.31368477459977223,0.40652421461584837,55.0,100.0,140.0,0.000597115910735635,0.05395182581867741
06_mean_reversion,ret6_Q1_bear,full,12h,14918,0.0019033596806790763,0.002103355672189555,0.01165527518911913,0.011091526400308416,0.027114851525171794,0.791325915002011,0.5648880546990214,0.27061268266523664,0.4434240514814318,0.44101085936452605,0.1155650891540421,80.0,205.0,340.0,0.0008671665147076402,0.035031988601889996
06_mean_reversion,ret6_Q1_bear,thinned144,15m,69,0.0008622035425099599,0.0011489121563537097,0.0020727846260972793,0.0013802778429785612,0.003946381556616467,0.2028985507246377,0.0,0.0,0.0,0.028985507246376812,0.9710144927536232,15.0,,,0.0010551927331896582,-0.009955595206715465
06_mean_reversion,ret6_Q1_bear,thinned144,30m,69,0.0012911641501296052,0.0009060540651659732,0.0028253017028785354,0.002273141368347331,0.0060212470414678495,0.34782608695652173,0.07246376811594203,0.0,0.07246376811594203,0.057971014492753624,0.8695652173913043,15.0,25.0,,0.0007401488902837317,0.04695480550745797
