timeframe,period_role,metric,value
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,4
1h,DEVELOPMENT,ignored_position_open,4
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,17
1h,DEVELOPMENT,sl_count,30
1h,DEVELOPMENT,win_count,17
1h,DEVELOPMENT,loss_count,30
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.3617021276595745
1h,DEVELOPMENT,loss_rate,0.6382978723404256
1h,DEVELOPMENT,average_winning_trade,0.3336495444127247
1h,DEVELOPMENT,average_losing_trade,-0.2417814514183329
1h,DEVELOPMENT,median_winning_trade,0.3342428677418973
1h,DEVELOPMENT,median_losing_trade,-0.24166517580878016
1h,DEVELOPMENT,profit_factor,0.7819792381016155
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.033646835904971605
1h,DEVELOPMENT,average_R_per_closed_trade,-0.16497123404254863
1h,DEVELOPMENT,expectancy_per_trade,-0.033646835904971605
1h,DEVELOPMENT,expectancy_R,-0.16497123404254863
1h,DEVELOPMENT,median_R,-1.248450499999991
1h,DEVELOPMENT,total_R,-7.753647999999783
1h,DEVELOPMENT,average_holding_time,0 days 07:25:31.914893617
1h,DEVELOPMENT,median_holding_time,0 days 03:00:00
1h,DEVELOPMENT,max_holding_time,2 days 04:00:00
1h,DEVELOPMENT,average_holding_candles,89.10638297666667
1h,DEVELOPMENT,median_holding_candles,36.0
1h,DEVELOPMENT,max_holding_candles,624.0
1h,DEVELOPMENT,max_consecutive_wins,3
1h,DEVELOPMENT,max_consecutive_losses,5
1h,DEVELOPMENT,max_drawdown,1.714766249370701
1h,DEVELOPMENT,max_drawdown_pct,0.08533184711064538
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-08 17:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-03-10 22:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.3447076368297551
1h,DEVELOPMENT,sum_of_winning_net_pnl,5.672042255016321
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
