timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,33,11,22,0.3333333333333333,0.2893269174781654,1.2889685096977785,0.6444843271805584,-1.6441259194001716,-1.6441259194001716,18.355874080599808,18.355874080599826,18.355874080599808,3.116685089694556,0.14885582639620423
5m,DEVELOPMENT,2024-02,30,16,14,0.5333333333333333,3.7028443573010574,1.1662202434569484,0.5831110474395034,1.9535130664046056,0.30938714700443404,20.30938714700439,20.30938714700442,20.30938714700439,0.8404288007446254,0.044819889089919754
5m,DEVELOPMENT,2024-03,57,16,41,0.2807017543859649,-1.2228807485220399,2.0495018299051395,1.0247506092322682,-4.297133187659448,-3.9877460406550136,-2.8421709430404007e-13,16.01225395934496,16.268999635291124,4.950147110449169,0.24093049505548286
5m,DEVELOPMENT,2024-04,36,9,27,0.25,-1.1308549360442541,1.0325134072329736,0.5162564209026996,-2.679624764179928,-6.667370804834942,-3.304023721284466e-13,13.332629195165035,13.286694224156271,3.1858663624529306,0.19595243346531957
5m,DEVELOPMENT,2024-05,35,14,21,0.4,1.1339066215740667,0.9434734979636175,0.471737032458415,-0.2813039088479657,-6.948674713682908,13.051325286317036,13.05132528631707,13.051325286317036,1.16208292579881,0.08263425639451441
5m,DEVELOPMENT,2024-06,19,5,14,0.2631578947368421,-0.3960052191637228,0.478459049173963,0.23922942558564395,-1.1136936939233297,-8.062368407606238,11.9376315923937,11.937631592393739,11.9376315923937,1.7172312364568647,0.12797854496790165
5m,DEVELOPMENT,2024-07,39,14,25,0.358974358974359,0.5367174392753331,0.9071686818424662,0.45358447510054395,-0.8240357176676771,-8.886404125273915,11.113595874726018,11.113595874726066,11.113595874726018,1.3879830203853736,0.11140172570190907
5m,DEVELOPMENT,2024-08,38,10,28,0.2631578947368421,-0.6875732517478748,0.7521268877741941,0.3760632719937442,-1.815763411515813,-10.702167536789727,-4.991562718714704e-13,9.297832463210252,9.244866721373509,1.9532229146462186,0.1748505346012708
5m,VALIDATION,2024-09,37,11,26,0.2972972972972973,-0.48477508991864915,1.3720676692635214,0.6860337134379122,-2.5428764726200828,-2.5428764726200828,17.45712352737991,17.457123527379924,17.45712352737991,2.915298933223827,0.14434589886826857
5m,VALIDATION,2024-10,35,12,23,0.34285714285714286,0.36929222414565066,1.152039358880865,0.5760197717634187,-1.358766906498633,-3.901643379118716,16.098356620881262,16.098356620881287,16.098356620881262,2.0278041230069395,0.11564247154713153
5m,VALIDATION,2024-11,37,15,22,0.40540540540540543,1.5007338024344847,1.1768846549086054,0.5884427026376853,-0.2645935551118058,-4.166236934230522,-1.9895196601282805e-13,15.833763065769483,15.727330009989176,1.3099217038147106,0.07893961510414632
5m,VALIDATION,2024-12,39,9,30,0.23076923076923078,-1.4660095102351436,1.1139418797240697,0.5569705733595925,-3.1369219633188057,-7.303158897549327,12.696841102450653,12.696841102450671,12.696841102450653,3.4280153062355794,0.21611954376119527
15m,DEVELOPMENT,2024-01,13,4,9,0.3076923076923077,-0.09619348974375588,0.5065533206975144,0.25327663630034963,-0.8560234467416199,-0.8560234467416199,19.143976553258362,19.143976553258383,19.143976553258362,1.7689419794215695,0.08692990636523149
15m,DEVELOPMENT,2024-02,20,6,14,0.3,-0.23097385171189067,0.7313382187463813,0.365669051629682,-1.3279811220879543,-2.1840045688295744,17.815995431170407,17.815995431170425,17.815995431170407,2.074026505060097,0.10833833291062464
15m,DEVELOPMENT,2024-03,19,9,10,0.47368421052631576,1.572853503657439,0.6841830187151265,0.3420919025709042,0.546578582371408,-1.6374259864581664,-1.3500311979441904e-13,18.36257401354184,18.646600123531517,1.018326634013306,0.05485847181197781
15m,DEVELOPMENT,2024-04,16,3,13,0.1875,-1.0842168677125603,0.5660410107669956,0.28302023432924295,-1.933278112808799,-3.5707040992669654,16.429295900733017,16.429295900733045,16.429295900733017,2.209608387179969,0.11854819108722302
15m,DEVELOPMENT,2024-05,20,8,12,0.4,0.7911345170353178,0.6600794019431034,0.33003989875515655,-0.19898478366294212,-3.7696888829299073,16.230311117070084,16.2303111170701,16.230311117070084,0.6889217708724757,0.041197760131855235
15m,DEVELOPMENT,2024-06,15,4,11,0.26666666666666666,-0.3652569141047436,0.47634988373204185,0.238174850551769,-1.0797816483885543,-4.849470531318461,15.150529468681531,15.150529468681544,15.150529468681531,1.9539135004178156,0.11687702924352325
15m,DEVELOPMENT,2024-07,18,8,10,0.4444444444444444,1.0191380100513612,0.548129055124669,0.27406478234680165,0.1969441725798905,-4.652526358738571,15.347473641261422,15.347473641261434,15.347473641261422,0.8226549776060175,0.05336733774693202
15m,DEVELOPMENT,2024-08,21,3,18,0.14285714285714285,-1.570184851359507,0.5872433700972505,0.29362129250237934,-2.451049513959137,-7.103575872697708,12.89642412730229,12.8964241273023,12.89642412730229,2.4562314775006655,0.15998740157580643
