investigation,regime,n,median_forward_return_1h,median_forward_return_4h,median_forward_return_12h,mfe,mae,p_plus_1R,p_minus_1R,p_plus_1R_before_minus_1R,future_volatility,monthly_consistency,clustering_note,interpretation,verdict,n_thinned144,p_race_thinned144,delta_p_race_vs_all,delta_median_fwd_12h_vs_all
02_day_of_week,Sunday,14976,3.961701703047993e-05,0.0002888933551684625,0.0013508895580600644,0.00928413838890152,0.007919516553845651,0.4668803418803419,0.37840544871794873,0.39890491452991456,0.020270026486248788,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: mixed (5/12 months race>baseline),C,104,0.3269230769230769,-0.025255138694435575,0.00039596596374757986
03_trend_regime,ALL,105215,8.094419309090384e-05,0.0003510923329543836,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.5093380221451314,0.402528156631659,0.42416005322435013,0.024008709923462837,baseline,median gap 5.0 min; %<1h 100.0; %<3h 100.0; %<12h 100.0,unconditional 2024 reference path,baseline,730,0.4041095890410959,0.0,0.0
03_trend_regime,EMA20>EMA50,55978,-0.00011987207033770098,-2.1809461113631023e-05,0.0006711524701551452,0.010392084228424525,0.009262269579186133,0.5157383257708386,0.39140376576512204,0.4380292257672657,0.024389803345307867,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 98.5; %<3h 99.1; %<12h 99.9,small mixed difference. monthly: mixed (7/12 months race>baseline),C,396,0.42676767676767674,0.013869172542915587,-0.0002837711241573393
03_trend_regime,EMA20<=EMA50,49237,0.00033796374701233756,0.0008029380937659703,0.001236189157481915,0.010053142732663112,0.009869894354915143,0.5020614578467413,0.4151755793407397,0.40839206287954183,0.023636445058413863,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 98.3; %<3h 98.9; %<12h 99.8,small directional difference (below ~0.30R cost scale). monthly: mixed (5/12 months race>baseline),C,334,0.3772455089820359,-0.015767990344808303,0.0002812655631694305
03_trend_regime,spread_Q1,26262,0.0004988979319342501,0.0010947282651855295,0.0019008501015126411,0.01134517591269868,0.011416136718856884,0.5536516640012185,0.4572005178585028,0.4327164724697281,0.026582091677581847,mixed (8/12 months race>baseline),median gap 5.0 min; %<1h 97.4; %<3h 98.1; %<12h 99.3,volatility expansion without meaningful directional race shift. monthly: mixed (8/12 months race>baseline),C,153,0.42483660130718953,0.008556419245377977,0.0009459265072001566
03_trend_regime,spread_Q2,26333,0.00019600337437453152,0.0005352045158334429,0.0006727479385959523,0.008528432239456984,0.007909508229741014,0.4399043025861087,0.36551095583488397,0.37758705806402615,0.02038612255784469,mixed (4/12 months race>baseline),median gap 5.0 min; %<1h 94.7; %<3h 97.0; %<12h 99.7,directional difference versus baseline. monthly: mixed (4/12 months race>baseline),C,201,0.3383084577114428,-0.04657299516032398,-0.00028217565571653225
03_trend_regime,spread_Q3,26334,-6.908153664586525e-05,9.868546738123207e-05,0.0005854257831533483,0.009299672543644721,0.008047840921993954,0.4750512645249487,0.361395914027493,0.41228070175438597,0.021902996046853463,mixed (6/12 months race>baseline),median gap 5.0 min; %<1h 94.8; %<3h 97.0; %<12h 99.7,small mixed difference. monthly: mixed (6/12 months race>baseline),C,204,0.3872549019607843,-0.011879351469964161,-0.00036949781115913627
03_trend_regime,spread_Q4,26286,-0.00023441073515639843,-0.0002469678368856587,0.000892330037266964,0.011908545062849885,0.010703244934281209,0.568972076390474,0.4261964543863654,0.47416875903522787,0.026908340204845258,broad (11/12 months race>baseline),median gap 5.0 min; %<1h 97.5; %<3h 98.1; %<12h 99.3,raw race +5pp but non-monotonic quartiles and no median-fwd lift; not A,B,172,0.48255813953488375,0.05000870581087774,-6.25935570455205e-05
04_volatility_regime,ALL,105215,8.094419309090384e-05,0.0003510923329543836,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.5093380221451314,0.402528156631659,0.42416005322435013,0.024008709923462837,baseline,median gap 5.0 min; %<1h 100.0; %<3h 100.0; %<12h 100.0,unconditional 2024 reference path,baseline,730,0.4041095890410959,0.0,0.0
04_volatility_regime,range12_Q1,26337,7.669568255885828e-05,0.0002452775888490688,0.0006028549157026664,0.007474289295388292,0.006394275654093895,0.3915404184227513,0.3028818772069712,0.35357102175646427,0.017523863751586686,unstable (race edge concentrated in <=2 months),median gap 5.0 min; %<1h 95.1; %<3h 98.1; %<12h 99.6,directional difference versus baseline. monthly: unstable (race edge concentrated in <=2 months),B,219,0.3698630136986301,-0.07058903146788587,-0.00035206867860981816
04_volatility_regime,range12_Q2,26295,4.723603429102052e-05,0.0002317277499002124,0.0007269734423438479,0.009922450105275038,0.009381266112861608,0.4970907016543069,0.4055904164289789,0.42833238258224,0.023109807036414076,mixed (6/12 months race>baseline),median gap 5.0 min; %<1h 93.1; %<3h 98.1; %<12h 99.8,indistinguishable from baseline. monthly: mixed (6/12 months race>baseline),C,227,0.41409691629955947,0.004172329357889859,-0.00022795015196863666
04_volatility_regime,range12_Q3,26297,9.135126918979886e-05,0.0003246312684364039,0.001034891375905067,0.010950957672015926,0.010494514231197294,0.5398334410769289,0.4323687112598395,0.45104004259040953,0.025340674914073037,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 93.1; %<3h 98.1; %<12h 99.8,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),B,165,0.4121212121212121,0.026879989366059398,7.996778159258255e-05
04_volatility_regime,range12_Q4,26286,0.0001546462552104444,0.0008469227068498286,0.0019481098990866696,0.01326786629524579,0.01259994494125366,0.6091075097009815,0.46945141900631515,0.4638210454234193,0.030490280749134537,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 96.2; %<3h 97.9; %<12h 99.5,directional difference versus baseline. monthly: broad (9/12 months race>baseline),B,119,0.4369747899159664,0.039660992199069156,0.0009931863047741851
04_volatility_regime,range24_Q1,26335,3.2472325046661865e-05,0.0002085429601454969,0.0005719967651602875,0.007453970221035,0.006429938309886807,0.3842415037022973,0.29967723561799886,0.34744636415416746,0.01738101400824344,unstable (race edge concentrated in <=2 months),median gap 5.0 min; %<1h 96.4; %<3h 98.0; %<12h 99.5,directional difference versus baseline. monthly: unstable (race edge concentrated in <=2 months),B,208,0.35096153846153844,-0.07671368907018267,-0.000382926829152197
