investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
06_mean_reversion,ret3_Q2,full,1h,26338,8.901367128784387e-05,0.00010043291986971958,0.0020286387414782947,0.002028781716995165,0.004922183563078386,0.175715695952616,0.03717062798997646,0.005353481661477713,0.036677044574379224,0.0482572708633913,0.9150656845622295,35.0,40.0,45.0,1.9488726778815746e-05,-0.0295422117879282
06_mean_reversion,ret3_Q2,full,2h,26334,0.00020190806096065232,0.00025305490377824924,0.003070790121584177,0.002938206943718713,0.007299029465925913,0.3149160780739728,0.09633933318143845,0.017619807093491303,0.09360522518417255,0.10332649806334017,0.8030682767524873,55.0,75.0,80.0,3.69117377576611e-05,-0.0403768320617571
06_mean_reversion,ret3_Q2,full,4h,26327,0.0003543895104447279,0.0003415267730186855,0.004696983204655947,0.004325040114563694,0.010983296893149691,0.4741520112432104,0.20625213658981273,0.051961864245831275,0.19743989060660158,0.1965662627720591,0.6059938466213393,85.0,130.0,155.0,-9.565559935698076e-06,-0.042876885418694916
06_mean_reversion,ret3_Q2,full,12h,26312,0.0011178547886367485,0.0009064877391942172,0.009161205267104067,0.00823460178448654,0.021445584222768956,0.709866220735786,0.466403162055336,0.1997187595013682,0.40186986926117363,0.36789297658862874,0.23023715415019763,145.0,280.0,400.0,-4.843585511826731e-05,-0.022290183963176502
06_mean_reversion,ret3_Q2,thinned144,15m,211,0.00032647459735089725,0.0002067040166291445,0.0010565631888337368,0.0009118713148456026,0.0024584791727370143,0.04265402843601896,0.004739336492890996,0.0,0.004739336492890996,0.004739336492890996,0.990521327014218,15.0,15.0,,0.00018514645361622506,-0.005093990512690083
06_mean_reversion,ret3_Q2,thinned144,30m,211,-1.0551458571023737e-05,-0.0001435809648818731,0.001629087811679808,0.0016246581262714388,0.0039619834583336545,0.12322274881516587,0.014218009478672985,0.009478672985781991,0.014218009478672985,0.02843601895734597,0.957345971563981,25.0,25.0,30.0,-0.00017907051033871912,-0.013602745506946788
06_mean_reversion,ret3_Q2,thinned144,1h,211,0.00010714504645159498,-0.0002786785240457279,0.0024480294253823587,0.002452535857156213,0.005600329285861343,0.21800947867298578,0.018957345971563982,0.009478672985781991,0.018957345971563982,0.05687203791469194,0.9241706161137441,30.0,27.5,30.0,-0.00035962271713663174,-0.04726191039074344
06_mean_reversion,ret3_Q2,thinned144,2h,211,-3.499563773441637e-05,3.448983877984979e-05,0.0039151795984093685,0.004150242464908915,0.00954818061647963,0.41232227488151657,0.11848341232227488,0.018957345971563982,0.11848341232227488,0.17535545023696683,0.7061611374407583,60.0,90.0,55.0,-0.00018165332724073835,-0.01549864492365477
06_mean_reversion,ret3_Q2,thinned144,4h,211,0.00019626750677419249,0.000282107701902623,0.00583459808990705,0.0053095349014044,0.014493664867353914,0.5734597156398105,0.25118483412322273,0.08056872037914692,0.23696682464454977,0.2890995260663507,0.47393364928909953,80.0,125.0,160.0,-6.898463105176056e-05,-0.0033499513807467296
06_mean_reversion,ret3_Q2,thinned144,12h,211,0.0004767283350860892,0.0011612131364227007,0.009461303850248237,0.007598879318053031,0.02142866583259012,0.7061611374407583,0.47393364928909953,0.1895734597156398,0.4028436018957346,0.3981042654028436,0.1990521327014218,105.0,225.0,342.5,0.00020628954211021622,-0.021316451328615538
06_mean_reversion,ret3_Q3,full,15m,26338,9.86988151434316e-06,-2.8748983596393884e-05,0.0009148322479572979,0.0009376041972716798,0.002286437739929293,0.037018756169792694,0.003986635279823829,0.00018983977522970614,0.003948667324777887,0.0043283468752373,0.9917229857999849,10.0,15.0,10.0,-5.030654660931333e-05,-0.005884659680803191
06_mean_reversion,ret3_Q3,full,30m,26338,4.565153027109522e-05,-2.325875825581747e-05,0.0013647953087666531,0.0013973916685040555,0.0033653077327699867,0.08952843799832941,0.015414989748652137,0.0012909104715620016,0.015339053838560254,0.015073278153238667,0.9695876680082011,20.0,25.0,25.0,-5.8748303712663485e-05,-0.012481701147059519
06_mean_reversion,ret3_Q3,full,1h,26336,8.722818209887793e-05,5.5334865225464824e-06,0.0020383685805711593,0.0020457545218547923,0.004948380791252812,0.18309538274605103,0.04222357229647631,0.00679678007290401,0.04184386391251519,0.043210814094775216,0.9149453219927096,35.0,40.0,45.0,-7.541070656835736e-05,-0.024375392449792234
06_mean_reversion,ret3_Q3,full,2h,26334,0.00013925403271665532,9.503235935037768e-05,0.0030391392828476027,0.0029690510131467063,0.007321834888552536,0.31620718462823727,0.10002278423331055,0.020809599756968177,0.09778233462443989,0.09854180906812486,0.8036758563074352,55.0,70.0,75.0,-0.00012111080667021046,-0.036199722621489766
06_mean_reversion,ret3_Q3,full,4h,26330,0.0002913565736678555,0.00016733140593994111,0.00461535578280281,0.0044320568520563874,0.010997775559521538,0.469692366122294,0.20903911887580706,0.05662742119255602,0.19984808203570073,0.19510064565134827,0.605051272312951,85.0,130.0,155.0,-0.00018376092701444247,-0.040468693989595766
06_mean_reversion,ret3_Q3,full,12h,26315,0.0008796700728232206,0.0006679322224565354,0.009130386508375388,0.008405464660929951,0.021695859872611464,0.7029450883526506,0.46562796883906515,0.20300209006270187,0.39821394641839253,0.37480524415732475,0.22698080942428273,145.0,275.0,390.0,-0.00028699137185594914,-0.025946106805957603
06_mean_reversion,ret3_Q3,thinned144,15m,218,-0.00011116628883550286,-0.00011284214889001332,0.0009104975170459717,0.0011671811649839325,0.0025786813285113997,0.045871559633027525,0.0,0.0,0.0,0.0045871559633027525,0.9954128440366973,15.0,,,-0.00013439971190293276,-0.009833327005581078
06_mean_reversion,ret3_Q3,thinned144,30m,218,-6.649565029767377e-06,-0.0003407257693748278,0.0014405074883071523,0.0017861772741695758,0.0037608877585461418,0.10550458715596331,0.03211009174311927,0.0045871559633027525,0.03211009174311927,0.013761467889908258,0.9541284403669725,20.0,30.0,30.0,-0.0003762153148316738,0.004289336757499495
