trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
1,CLOSED,BTCUSDT,LONG,2024-01-01 09:10:00+00:00,2024-01-01 09:15:00+00:00,42574.24,42595.52712,2024-01-01 19:45:00+00:00,43447.4376624,43425.7139435688,0.00046906380389969885,19.980019980019982,0.19980019980019983,42169.5718488,43447.4376624,TP,0.40958541708166984,0.019980019980019983,0.020369430569430573,0.009985017481269764,0.010189810189809826,0.02017482767107959,0.3490611388611397,1.747051000000004,0 days 10:30:00
2,CLOSED,BTCUSDT,LONG,2024-01-01 19:45:00+00:00,2024-01-01 19:50:00+00:00,43462.04,43483.77102,2024-01-02 00:05:00+00:00,44353.4464404,44331.269717179806,0.0004675015972534824,20.32873240645469,0.20328732406454691,43048.9333098,44353.4464404,TP,0.416733934689042,0.02032873240645469,0.020724939401056495,0.010159286559947026,0.010367653527290226,0.020526940087237253,0.3551533227942936,1.7470510000000141,0 days 04:15:00
3,CLOSED,BTCUSDT,LONG,2024-01-02 00:05:00+00:00,2024-01-02 00:10:00+00:00,44398.45,44420.649224999994,2024-01-02 01:05:00+00:00,45309.06220949999,45286.40767839525,0.00046562874004741023,20.683530930724718,0.2068353093072472,43976.442732749994,45309.06220949999,TP,0.42400721578127126,0.020683530930724718,0.021086652948564547,0.010336597166777414,0.010548600774667195,0.02088519794144461,0.3613518339605374,1.747051000000009,0 days 00:55:00
4,CLOSED,BTCUSDT,LONG,2024-01-02 07:05:00+00:00,2024-01-02 07:10:00+00:00,45335.82,45358.487909999996,2024-01-02 15:15:00+00:00,44904.90303089999,44882.450579384546,0.0004639599498025273,21.044521773842142,0.21044521773842143,44904.90303089999,46265.657668199994,SL,-0.19992821535269606,0.021044521773842143,0.02082365951782567,0.010517002385726575,0.010417038278050954,0.020934040663777527,-0.2627304373081414,-1.2484505000000015,0 days 08:05:00
5,CLOSED,BTCUSDT,LONG,2024-01-03 00:45:00+00:00,2024-01-03 00:50:00+00:00,45186.24,45208.833119999996,2024-01-03 11:10:00+00:00,44756.744788799995,44734.366416405595,0.00045969011740118416,20.78205380450334,0.20782053804503342,44756.744788799995,46113.0097824,SL,-0.19743470405977567,0.02078205380450334,0.02056394614982508,0.010385833985257996,0.010287116633229051,0.02067295061848705,-0.2594536546325912,-1.2484505000000008,0 days 10:20:00
6,CLOSED,BTCUSDT,LONG,2024-01-04 00:05:00+00:00,2024-01-04 00:10:00+00:00,42884.99,42906.432494999994,2024-01-04 15:00:00+00:00,43764.56114489999,43742.67886432754,0.00047831661014283844,20.522859344330925,0.20522859344330927,42477.368170049995,43764.56114489999,TP,0.4207134884080203,0.020522859344330926,0.020922849872951937,0.0102563015214027,0.01046665826560806,0.02072295978701076,0.35854481940372673,1.7470509999999992,0 days 14:50:00
7,CLOSED,BTCUSDT,LONG,2024-01-04 15:15:00+00:00,2024-01-04 15:20:00+00:00,43888.62,43910.56431,2024-01-05 01:45:00+00:00,43471.4586669,43449.72293756655,0.0004755358147913058,20.881045977101884,0.20881045977101884,43471.4586669,44788.7755962,SL,-0.19837515443513792,0.020881045977101883,0.020661899399572196,0.0104353053358825,0.010336117758665362,0.02077142309454786,-0.2606895229063599,-1.2484505000000072,0 days 10:25:00
8,CLOSED,BTCUSDT,LONG,2024-01-05 06:50:00+00:00,2024-01-05 06:55:00+00:00,43874.0,43895.937,2024-01-05 10:55:00+00:00,43456.97763,43435.249141185006,0.0004697614014547482,20.620616883289333,0.20620616883289333,43456.97763,44773.85574,SL,-0.19590101296917997,0.020620616883289335,0.020404203509099217,0.01030515586371191,0.010207205357225975,0.020512361220937886,-0.2574381945825064,-1.248450499999982,0 days 04:00:00
9,CLOSED,BTCUSDT,LONG,2024-01-05 19:45:00+00:00,2024-01-05 19:50:00+00:00,43710.91,43732.765455,2024-01-08 02:50:00+00:00,43295.43780045,43273.79008154978,0.0004656333908422485,20.363435869720398,0.20363435869720398,43295.43780045,44607.4207641,SL,-0.19345772907715397,0.0203634358697204,0.020149721610267683,0.010176629620048854,0.010079900755511738,0.02025653037556059,-0.2542274169327027,-1.2484504999999952,2 days 07:00:00
10,CLOSED,BTCUSDT,LONG,2024-01-08 06:20:00+00:00,2024-01-08 06:25:00+00:00,44049.74,44071.76487,2024-01-08 12:00:00+00:00,44953.2001674,44930.7235673163,0.00045628902054521215,20.10946242623119,0.2010946242623119,43631.047221299996,44953.2001674,TP,0.41223895488455964,0.02010946242623119,0.020501395848918434,0.01004970635993613,0.010255825837376593,0.020305532197312723,0.3513225644120973,1.7470510000000052,0 days 05:35:00
11,CLOSED,BTCUSDT,LONG,2024-01-08 12:00:00+00:00,2024-01-08 12:05:00+00:00,44959.34,44981.81967,2024-01-08 12:25:00+00:00,44532.0014733,44509.73547256335,0.00045486007834174554,20.46043401905047,0.20460434019050472,44532.0014733,45881.4560634,SL,-0.19437923573320703,0.020460434019050473,0.020245701764020536,0.010225104457296871,0.010127914839430124,0.020353019296726997,-0.25543839081300507,-1.2484504999999968,0 days 00:20:00
12,CLOSED,BTCUSDT,LONG,2024-01-08 17:55:00+00:00,2024-01-08 18:00:00+00:00,45648.01,45670.834005,2024-01-08 18:35:00+00:00,46584.2506851,46560.958559757455,0.0004424103752787396,20.20525081144507,0.2020525081144507,45214.12566495,46584.2506851,TP,0.4142025928463143,0.02020525081144507,0.020599051149760135,0.01009757661741159,0.010304677913834664,0.020402254531246253,0.3529960363538628,1.7470510000000177,0 days 00:35:00
13,CLOSED,BTCUSDT,LONG,2024-01-08 18:35:00+00:00,2024-01-08 18:40:00+00:00,46638.08,46661.39904,2024-01-09 12:55:00+00:00,46194.785049599996,46171.6876570752,0.0004405760355959952,20.557894204405976,0.20557894204405977,46194.785049599996,47594.6270208,SL,-0.19530513184695805,0.020557894204405975,0.020342139104730733,0.01027381019710217,0.010176157631179331,0.0204499678282815,-0.25665513298437626,-1.2484504999999941,0 days 18:15:00
14,CLOSED,BTCUSDT,LONG,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,47914.25,47938.207125,2024-01-09 21:15:00+00:00,47458.82505375,47435.095641223124,0.0004234930066787693,20.30149547015585,0.2030149547015585,47458.82505375,48896.971267500005,SL,-0.19286927980392984,0.02030149547015585,0.020088431275196567,0.010145674897629455,0.01004924025772694,0.020194915155356395,-0.25345412170463866,-1.248450500000003,0 days 00:00:00
15,CLOSED,BTCUSDT,LONG,2024-01-10 17:35:00+00:00,2024-01-10 17:40:00+00:00,45914.22,45937.17711,2024-01-10 20:10:00+00:00,45477.8053389,45455.06643623055,0.00043642852718975,20.048294549371995,0.20048294549371995,45477.8053389,46855.920652199995,SL,-0.19046380778788832,0.020048294549371997,0.01983788769807634,0.01001913770583122,0.009923905801939536,0.019943043507770757,-0.2502930335431074,-1.2484505,0 days 02:30:00
16,CLOSED,BTCUSDT,LONG,2024-01-10 22:20:00+00:00,2024-01-10 22:25:00+00:00,46501.66,46524.91083,2024-01-10 23:10:00+00:00,47455.4090466,47431.6813420767,0.0004255408813390613,19.79825155881944,0.1979825155881944,46059.6617217,47455.4090466,TP,0.40585920986645113,0.01979825155881944,0.02018411948170083,0.009894178690063505,0.010097108294997317,0.01999128698506082,0.34588555184087,1.7470509999999968,0 days 00:45:00
17,CLOSED,BTCUSDT,LONG,2024-01-10 23:15:00+00:00,2024-01-10 23:20:00+00:00,47632.4,47656.216199999995,2024-01-10 23:20:00+00:00,47179.65403799999,47156.06421098099,0.0004226896966832311,20.14379157064848,0.2014379157064848,47179.65403799999,48609.340524,SL,-0.19137105335234111,0.02014379157064848,0.019932382478114526,0.010066862354144565,0.0099711768274714,0.020038039181615966,-0.2514852665827201,-1.2484505000000063,0 days 00:00:00
18,CLOSED,BTCUSDT,LONG,2024-01-11 10:15:00+00:00,2024-01-11 10:20:00+00:00,46372.97,46396.156485,2024-01-11 12:40:00+00:00,47324.0796147,47300.41757489265,0.0004287544280640926,19.892557538098316,0.19892557538098316,45932.194920149996,47324.0796147,TP,0.4077924588769575,0.019892557538098318,0.02028026348451585,0.009941308114990957,0.010145204344430177,0.020086512459421134,0.3475331253949222,1.747051000000001,0 days 02:20:00
19,CLOSED,BTCUSDT,LONG,2024-01-11 12:55:00+00:00,2024-01-11 13:00:00+00:00,47449.64,47473.364819999995,2024-01-11 13:30:00+00:00,46998.63117179999,46975.131856214095,0.0004263389282452337,20.23974347755378,0.20239743477553782,46998.63117179999,48422.83211639999,SL,-0.1922826204439297,0.020239743477553782,0.020027327369756855,0.010114814331609302,0.010018673021388022,0.020133487352997324,-0.25268317864423767,-1.2484505000000006,0 days 00:30:00
20,CLOSED,BTCUSDT,LONG,2024-01-11 14:00:00+00:00,2024-01-11 14:05:00+00:00,47639.36,47663.17968,2024-01-11 14:45:00+00:00,48616.4432736,48592.1350519632,0.00041934492964690605,19.987312729657443,0.19987312729657444,47186.5478832,48616.4432736,TP,0.4097349166269611,0.019987312729657442,0.020376865454758468,0.009988662033812032,0.010193529492124627,0.020182191525936657,0.34918854691660856,1.7470510000000044,0 days 00:40:00
21,CLOSED,BTCUSDT,LONG,2024-01-11 14:45:00+00:00,2024-01-11 14:50:00+00:00,48883.99,48908.43199499999,2024-01-11 14:55:00+00:00,48419.34767504999,48395.138001212465,0.0004158005400570979,20.336152436866843,0.20336152436866844,48419.34767504999,49886.600634899994,SL,-0.19319852964759873,0.020336152436866844,0.020122724517041925,0.010162994721070295,0.010066395456249409,0.020229390177319704,-0.25388679677882725,-1.2484505000000046,0 days 00:05:00
22,CLOSED,BTCUSDT,LONG,2024-01-11 20:10:00+00:00,2024-01-11 20:15:00+00:00,46953.31,46976.786654999996,2024-01-11 20:30:00+00:00,46507.01878845,46483.76527905578,0.0004274987861715344,20.082519273251634,0.20082519273251634,46507.01878845,47916.322388099994,SL,-0.1907889512166486,0.020082519273251633,0.01987175323347886,0.010036241515867274,0.009940847040257678,0.019977088556124952,-0.25072031227950403,-1.2484504999999884,0 days 00:15:00
23,CLOSED,BTCUSDT,LONG,2024-01-12 11:25:00+00:00,2024-01-12 11:30:00+00:00,46221.83,46244.940915,2024-01-12 12:40:00+00:00,45782.49150585,45759.600260097075,0.0004288479785770869,19.83204943081457,0.19832049430814572,45782.49150585,47169.8397333,SL,-0.18840942512733072,0.019832049430814572,0.019623912072038174,0.009911069180815794,0.009816864468252038,0.01972793364906783,-0.2475933202792513,-1.2484504999999981,0 days 01:10:00
24,CLOSED,BTCUSDT,LONG,2024-01-13 05:20:00+00:00,2024-01-13 05:25:00+00:00,42942.71,42964.18135499999,2024-01-13 11:50:00+00:00,42534.539541449994,42513.27227167927,0.0004558379291504978,19.584703456509626,0.19584703456509625,42534.539541449994,43823.46498209999,SL,-0.18605957656584324,0.019584703456509627,0.01937916199373356,0.009787457999252552,0.009694428210971785,0.019481886210224335,-0.24450532822631077,-1.2484504999999952,0 days 06:25:00
25,CLOSED,BTCUSDT,LONG,2024-01-13 14:45:00+00:00,2024-01-13 14:50:00+00:00,42930.0,42951.465,2024-01-14 20:00:00+00:00,42521.95035,42500.689374825,0.00045028597719194154,19.340442389350475,0.19340442389350476,42521.95035,43810.4943,SL,-0.18373903539308012,0.019340442389350475,0.019137464446474243,0.009665388500423453,0.009573518982727921,0.019238907483151373,-0.2414558497120562,-1.2484504999999908,1 days 05:10:00
26,CLOSED,BTCUSDT,LONG,2024-01-15 03:20:00+00:00,2024-01-15 03:25:00+00:00,42606.0,42627.303,2024-01-15 14:50:00+00:00,42201.029969999996,42179.929455015,0.0004480515165192013,19.0992277542735,0.190992277542735,42201.029969999996,43479.84906,SL,-0.18144743608632827,0.0190992277542735,0.018898781358992398,0.009544841456408493,0.00945411773836325,0.018998959194771743,-0.2384444043943659,-1.248450499999998,0 days 11:25:00
27,CLOSED,BTCUSDT,LONG,2024-01-15 18:20:00+00:00,2024-01-15 18:25:00+00:00,42919.94,42941.39997,2024-01-15 22:10:00+00:00,42511.9859703,42490.72997731485,0.00043922698303395185,18.86102155607733,0.1886102155607733,42511.9859703,43800.2279694,SL,-0.17918441768167673,0.01886102155607733,0.0186630751348463,0.009425797879097466,0.009336205670257674,0.01876200354935514,-0.2354705179219555,-1.2484505000000017,0 days 03:45:00
28,CLOSED,BTCUSDT,LONG,2024-01-16 03:20:00+00:00,2024-01-16 03:25:00+00:00,42880.0,42901.439999999995,2024-01-16 14:35:00+00:00,42472.425599999995,42451.1893872,0.0004341529392355599,18.625786273438017,0.18625786273438016,42472.425599999995,43759.468799999995,SL,-0.17694962371717196,0.018625786273438017,0.018430308646498285,0.009308239017208257,0.009219764205349637,0.018528003222557893,-0.23253372185966614,-1.2484504999999886,0 days 11:10:00
29,CLOSED,BTCUSDT,LONG,2024-01-16 20:15:00+00:00,2024-01-16 20:20:00+00:00,43347.99,43369.663994999995,2024-01-17 02:00:00+00:00,42935.967355049994,42914.49937137247,0.0004241094617454113,18.393484852998792,0.18393484852998793,42935.967355049994,44237.0572749,SL,-0.174742702176667,0.01839348485299879,0.01820044522946657,0.009192146353321624,0.009104775002234361,0.018296921355555985,-0.22963355361468835,-1.2484505000000035,0 days 05:40:00
30,CLOSED,BTCUSDT,LONG,2024-01-17 20:30:00+00:00,2024-01-17 20:35:00+00:00,42761.1,42782.48054999999,2024-01-18 12:20:00+00:00,42354.65574449999,42333.478416627746,0.0004245681987117405,18.164080703533568,0.18164080703533567,42354.65574449999,43638.130160999994,SL,-0.17256330543437196,0.018164080703533567,0.017973448676549986,0.009077501600963926,0.008991219948247708,0.018068721549211634,-0.22676955636366714,-1.2484504999999935,0 days 15:45:00
31,CLOSED,BTCUSDT,LONG,2024-01-18 15:15:00+00:00,2024-01-18 15:20:00+00:00,42784.44,42805.83222,2024-01-18 16:35:00+00:00,42377.7738978,42356.5850108511,0.000419044246073608,17.937537690183255,0.17937537690183256,42377.7738978,43661.948864399994,SL,-0.17041109020009365,0.017937537690183254,0.017749283232124786,0.008964286701738357,0.00887908115663969,0.017843367858378048,-0.22394127898077973,-1.2484504999999912,0 days 01:15:00
32,CLOSED,BTCUSDT,LONG,2024-01-19 06:05:00+00:00,2024-01-19 06:10:00+00:00,41257.69,41278.318845,2024-01-19 14:45:00+00:00,40865.535656550004,40845.10288872173,0.00042913133636278297,17.7138201287639,0.177138201287639,40865.535656550004,42103.885221900004,SL,-0.16828571746516746,0.0177138201287639,0.017527913586512525,0.008852483822470402,0.008768340963736673,0.017620824786207075,-0.221148275966651,-1.2484504999999855,0 days 08:35:00
33,CLOSED,BTCUSDT,LONG,2024-01-19 18:50:00+00:00,2024-01-19 18:55:00+00:00,41864.0,41884.932,2024-01-20 00:35:00+00:00,41466.08268,41445.34963866,0.0004176416659849387,17.49289278014587,0.1749289278014587,41466.08268,42722.63064,SL,-0.16618685244906217,0.01749289278014587,0.017309304870418242,0.008742075352397028,0.008658981926171256,0.017401057278568284,-0.21839010737819456,-1.2484504999999975,0 days 05:40:00
34,CLOSED,BTCUSDT,LONG,2024-01-20 06:30:00+00:00,2024-01-20 06:35:00+00:00,41683.28,41704.12164,2024-01-22 01:20:00+00:00,41287.0804236,41266.436883388196,0.0004142209490424631,17.274720844703122,0.17274720844703123,41287.0804236,42538.2040728,SL,-0.16411416454663075,0.017274720844703124,0.017093422649437962,0.008633043900400835,0.008550986818128223,0.01718403071852906,-0.2156663387593009,-1.2484505000000032,1 days 18:45:00
35,CLOSED,BTCUSDT,LONG,2024-01-22 13:05:00+00:00,2024-01-22 13:10:00+00:00,41135.87,41156.437935,2024-01-22 14:15:00+00:00,40744.87355565,40724.501118872184,0.0004144982124977404,17.059269956831695,0.17059269956831696,40744.87355565,41979.566693700006,SL,-0.16206732727604697,0.017059269956831696,0.01688023291863475,0.00852537229226935,0.008444338628629422,0.016969710920898773,-0.21297654107241218,-1.2484504999999828,0 days 01:05:00
36,CLOSED,BTCUSDT,LONG,2024-01-23 02:30:00+00:00,2024-01-23 02:35:00+00:00,40040.01,40060.030005,2024-01-23 08:10:00+00:00,39659.42970495,39639.59999009753,0.0004205315417246048,16.84650617953658,0.1684650617953658,39659.42970495,40861.2306051,SL,-0.16004601822738154,0.01684650617953658,0.016669702097182344,0.008419043567983663,0.00833902055886957,0.016758064126853232,-0.21032029063095373,-1.2484504999999906,0 days 05:35:00
37,CLOSED,BTCUSDT,LONG,2024-01-23 15:40:00+00:00,2024-01-23 15:45:00+00:00,39290.7,39310.345349999996,2024-01-24 00:45:00+00:00,40096.552256999996,40076.5039808715,0.00042320655926483944,16.63639599908608,0.16636395999086082,38917.241896499996,40096.552256999996,TP,0.34104196096077455,0.01663639599908608,0.016960639357108266,0.008314040979053035,0.008484561959531685,0.01679860293858472,0.2906463226659955,1.7470510000000128,0 days 09:00:00
