period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
2024-01,46,14,32,0.30434782608695654,-0.3215753580266145,1.7499831880020464,0.8749915136070916,-2.9465500596357526,-2.9465500596357526,17.053449940364224,17.05344994036424,17.053449940364224,4.787934874096592,0.22514610697707846
2024-02,49,25,24,0.5102040816326531,5.135659006546572,1.8279269398389713,0.9139647538341555,2.3937673128734454,-0.5527827467623072,19.447217253237664,19.44721725323768,19.447217253237664,0.9042659566046538,0.04443243508499349
2024-03,68,23,45,0.3382352941176471,0.6215005319948947,2.4062774625559613,1.2031388866529846,-2.9879158172140508,-3.540698563976358,-3.659295089164516e-13,16.459301436023623,16.72321521627736,3.860050938035611,0.19620318612500864
2024-04,47,11,36,0.23404255319148937,-1.7561725327546611,1.3540286091036446,0.677013865508614,-3.7872150073669197,-7.327913571343277,-4.3876013933186186e-13,12.672086428656701,12.628427228794456,4.199100541000851,0.2512583193779875
2024-05,51,19,32,0.37254901960784315,1.0510977660589187,1.294425235489756,0.6472128805192491,-0.8905403499500867,-8.218453921293364,-4.973799150320701e-13,11.781546078706617,11.709412826710459,1.7689408579311632,0.13175288328751572
2024-06,19,5,14,0.2631578947368421,-0.35642291731399517,0.4326121736713393,0.21630599772991288,-1.0053410887152474,-9.223795010008612,-5.222489107836736e-13,10.776204989991365,10.901533518967726,1.6993724028481516,0.13862564926914478
2024-07,53,17,36,0.32075471698113206,0.029037382517031515,1.0673218703896412,0.5336609424541067,-1.5719454303267164,-10.795740440335328,9.20425955966463,9.204259559664646,9.20425955966463,1.8258332037130902,0.1655319898827369
2024-08,51,14,37,0.27450980392156865,-0.5965672541485002,0.8245553221580548,0.4122775119371675,-1.8334000882437225,-12.62914052857905,-6.146194664324867e-13,7.370859471420921,7.328870863708019,1.944399433444067,0.21016789907365824
2024-09,42,14,28,0.3333333333333333,0.11248576135413571,0.5832313865676403,0.29161572140522757,-0.7623613466187321,-13.391501875197783,6.608498124802175,6.608498124802188,6.608498124802175,0.7876497737437953,0.10665438298146107
2024-10,38,14,24,0.3684210526315789,0.34458272617063446,0.4820371160244843,0.2410186441578994,-0.3784730340117492,-13.769974909209532,6.230025090790429,6.2300250907904395,6.230025090790429,0.5932869281860045,0.08914328210313459
2024-11,57,22,35,0.38596491228070173,0.7000027367130199,0.7031043037838777,0.3515523268925853,-0.35465389396344316,-14.124628803172975,-7.149836278586008e-13,5.875371196826993,5.83587750807312,0.9319912112363244,0.1407695841196867
2024-12,51,13,38,0.2549019607843137,-0.49930561667834,0.5395972959609119,0.2697985231540211,-1.308701435793273,-15.433330238966247,4.566669761033712,4.566669761033719,4.566669761033712,1.357237427634213,0.230598219193048
