timeframe,period_role,metric,value
15m,DEVELOPMENT,sum_of_winning_net_pnl,25.98943749821384
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.0
15m,DEVELOPMENT,unresolved_reserved,0.0
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,12.083987815803894
1h,DEVELOPMENT,ending_realized_equity,12.08398781580355
1h,DEVELOPMENT,ending_mtm_equity,12.083987815803509
1h,DEVELOPMENT,total_net_pnl,-7.916012184196452
1h,DEVELOPMENT,total_gross_pnl,1.3353122323320517
1h,DEVELOPMENT,total_fees,6.167549388467216
1h,DEVELOPMENT,total_slippage,3.083775028061288
1h,DEVELOPMENT,signals,461
1h,DEVELOPMENT,filled_trades,190
1h,DEVELOPMENT,closed_trades,190
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,271
1h,DEVELOPMENT,ignored_position_open,271
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,63
1h,DEVELOPMENT,sl_count,127
1h,DEVELOPMENT,win_count,63
1h,DEVELOPMENT,loss_count,127
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.33157894736842103
1h,DEVELOPMENT,loss_rate,0.6684210526315789
1h,DEVELOPMENT,average_winning_trade,0.2832279130365612
1h,DEVELOPMENT,average_losing_trade,-0.2028296905944867
1h,DEVELOPMENT,median_winning_trade,0.2858692422716772
1h,DEVELOPMENT,median_losing_trade,-0.20568196245850218
1h,DEVELOPMENT,profit_factor,0.6926938831426372
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.04166322202208659
1h,DEVELOPMENT,average_R_per_closed_trade,-0.25520526578946773
1h,DEVELOPMENT,expectancy_per_trade,-0.04166322202208659
1h,DEVELOPMENT,expectancy_R,-0.25520526578946773
1h,DEVELOPMENT,median_R,-1.2484504999999908
1h,DEVELOPMENT,total_R,-48.48900049999887
1h,DEVELOPMENT,average_holding_time,0 days 07:59:03.157894737
1h,DEVELOPMENT,median_holding_time,0 days 04:00:00
1h,DEVELOPMENT,max_holding_time,2 days 16:00:00
1h,DEVELOPMENT,average_holding_candles,95.81052631333333
1h,DEVELOPMENT,median_holding_candles,48.0
1h,DEVELOPMENT,max_holding_candles,768.0
1h,DEVELOPMENT,max_consecutive_wins,4
1h,DEVELOPMENT,max_consecutive_losses,9
1h,DEVELOPMENT,max_drawdown,8.162224524427872
1h,DEVELOPMENT,max_drawdown_pct,0.40398540915457876
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-08 21:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-22 23:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.3463495995636654
1h,DEVELOPMENT,sum_of_winning_net_pnl,17.843358521303355
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
