ending_cash,ending_realized_equity,ending_mtm_equity,total_net_pnl,signals,filled_trades,closed_trades,open_end_of_data,ignored_position_open,tp_count,sl_count,win_rate,average_R,profit_factor,max_drawdown,max_drawdown_pct,entry_slippage_last,sample_id
-2.220446049250313e-16,1.2013302224139437,1.1925855579624585,-18.798669777586056,8678.0,991.0,990.0,1.0,7687.0,322.0,668.0,0.32525252525252524,-0.2741560727272665,0.6817222136080038,19.904167503670415,0.9440337964111731,0.0005997651635789306,0
-4.440892098500626e-16,1.1695544682014685,1.1630796867250321,-18.83044553179853,8728.0,986.0,985.0,1.0,7742.0,319.0,666.0,0.3238578680203046,-0.27833377055836933,0.6815288774850505,19.883407296167253,0.945436913928367,0.0005839010905144298,1
-4.440892098500626e-16,2.147978024508813,2.137280836924559,-17.852021975491187,8790.0,978.0,977.0,1.0,7812.0,336.0,641.0,0.34390992835209827,-0.21826779375639102,0.7744996544782016,20.56756877047548,0.9068670482679623,0.0010723799062049462,2
0.0,1.309888434992093,1.306019814499307,-18.690111565007907,8742.0,996.0,995.0,1.0,7746.0,327.0,668.0,0.32864321608040203,-0.263999253266326,0.7040606224889201,19.786294093563033,0.9389318956272498,0.0006539629460954607,3
0.0,1.2918183311419469,1.2890564694822142,-18.708181668858053,8917.0,1009.0,1008.0,1.0,7908.0,332.0,676.0,0.32936507936507936,-0.2618369107142796,0.7341208830234012,20.64000532643916,0.9416447069589214,0.0006449414309537007,4
0.0,1.263178682173109,1.2593597229413378,-18.73682131782689,8823.0,987.0,986.0,1.0,7836.0,322.0,664.0,0.3265720081135903,-0.27020355983772193,0.6854774201886288,19.852714371286126,0.9415114998021522,0.0006306430611732805,5
0.0,1.4320914430597966,1.4253808313725058,-18.567908556940203,8843.0,977.0,976.0,1.0,7866.0,322.0,654.0,0.32991803278688525,-0.26018053790982965,0.7132633087175245,19.809324018413022,0.9342878297448767,0.0007149729046862868,6
-2.220446049250313e-16,1.233969295593777,1.2278239808477533,-18.766030704406223,8787.0,996.0,995.0,1.0,7791.0,325.0,670.0,0.32663316582914576,-0.2700203618090393,0.7204643796081504,20.255520319457283,0.9435821317403209,0.0006160602493925667,7
-2.220446049250313e-16,1.4161277141554187,1.4070942805560855,-18.58387228584458,8766.0,966.0,965.0,1.0,7800.0,317.0,648.0,0.32849740932642485,-0.26443601761657415,0.7078949299206463,19.551367255265546,0.9335667642618197,0.0007070029990774361,8
0.0,1.6424930057853508,1.634796477177361,-18.35750699421465,8944.0,997.0,996.0,1.0,7947.0,335.0,661.0,0.33634538152610444,-0.24092740512047583,0.721425838808044,19.79193992264174,0.924944617122786,0.0008200160687813728,9
-2.220446049250313e-16,1.9606232314988539,1.9447386724948337,-18.039376768501146,8839.0,971.0,970.0,1.0,7868.0,330.0,640.0,0.3402061855670103,-0.22936236082473652,0.728217173387009,18.78017172760702,0.906308079034303,0.0009788428620348226,10
-2.220446049250313e-16,1.3036785591945197,1.2940988276556864,-18.69632144080548,8683.0,994.0,993.0,1.0,7689.0,326.0,667.0,0.3282980866062437,-0.2650330891238611,0.6967415474587245,21.147496880534256,0.942888427013143,0.000650862660175509,11
