investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
08_volume_regime,vol_Q2_bear,thinned144,2h,49,0.0006852332730767749,0.0012320735695903196,0.003413657203262588,0.003741620256179523,0.008550988125561959,0.2857142857142857,0.061224489795918366,0.02040816326530612,0.061224489795918366,0.12244897959183673,0.8163265306122449,97.5,100.0,120.0,0.000706202849004911,-0.059733764088620564
08_volume_regime,vol_Q2_bear,thinned144,4h,49,0.001180462253791394,0.0009130727941024652,0.005853736251685504,0.005170656365974691,0.01535764428891306,0.5510204081632653,0.2653061224489796,0.08163265306122448,0.24489795918367346,0.32653061224489793,0.42857142857142855,120.0,155.0,150.0,0.00011013470033649497,0.019058774217971475
08_volume_regime,vol_Q2_bear,thinned144,12h,49,-0.0016229066387925823,-0.0004785966296214639,0.009261651791434344,0.012276861069964506,0.02208232569229193,0.7142857142857143,0.4897959183673469,0.20408163265306123,0.3673469387755102,0.46938775510204084,0.16326530612244897,145.0,217.5,275.0,-0.001714785787103379,-0.041045124104031605
08_volume_regime,vol_Q3,full,15m,26339,1.554980363653827e-05,2.116058422885203e-05,0.0011396926113875772,0.0011498259537332522,0.0027951821526047576,0.06120201981852007,0.007403470139337105,0.0007213637571661794,0.007289570598731919,0.012680815520710733,0.9800296138805573,10.0,15.0,15.0,-3.969787840674144e-07,-0.0025437564068491597
08_volume_regime,vol_Q3,full,30m,26338,3.861291984636602e-05,5.470372119731337e-07,0.0016859813916356714,0.0016981209982518397,0.004052571229424325,0.12897714329106236,0.02631179284683727,0.002543852988078062,0.02600804920646974,0.031741210418406864,0.9422507403751234,20.0,20.0,25.0,-3.494250824487288e-05,-0.001812705779150034
08_volume_regime,vol_Q3,full,1h,26336,0.00012294613814809366,9.00002634218744e-05,0.0024818158518802313,0.0024583214543683063,0.005928105858893222,0.2380771567436209,0.06595534629404617,0.010707776427703524,0.06458839611178614,0.07157503037667072,0.8638365735115431,30.0,40.0,45.0,9.056070330970556e-06,-0.0016308602505212821
08_volume_regime,vol_Q3,full,2h,26335,0.00026140455903376917,0.00022913927075163265,0.003629705935965122,0.00354505971769814,0.008626066286394979,0.3789253844693374,0.13973799126637554,0.032694133282703625,0.13423201063223847,0.13973799126637554,0.726029998101386,50.0,65.0,75.0,1.2996104731044511e-05,0.00024995338630881547
08_volume_regime,vol_Q3,full,4h,26330,0.0005082803775256529,0.00034577535935920167,0.005450127520873482,0.0051748755410759295,0.012816506705606287,0.5322066084314471,0.26152677554120773,0.07937713634637296,0.24432206608431448,0.24246107102164832,0.5132168628940372,70.0,115.0,145.0,-5.316973595181906e-06,0.00400529005901798
08_volume_regime,vol_Q3,full,12h,26312,0.0013745337251208957,0.0008541218245876614,0.010403564248449348,0.00969936210222544,0.024348576311895846,0.7401185770750988,0.5156202493159014,0.243006993006993,0.4271815141380359,0.4051763453937367,0.16764214046822742,120.0,240.0,355.0,-0.00010080176972482313,0.0030214609136857695
08_volume_regime,vol_Q3,thinned144,15m,225,-9.162791463229168e-05,-1.0988219614316286e-05,0.0012539549878534118,0.001202044393059376,0.0028457826236129727,0.044444444444444446,0.0,0.0,0.0,0.013333333333333334,0.9866666666666667,12.5,,,-3.254578262723573e-05,-0.009833327005581078
08_volume_regime,vol_Q3,thinned144,30m,225,0.00010879090622828535,0.00019166211439958225,0.0019968062158080002,0.0018200392603862081,0.004167362890349404,0.11555555555555555,0.02666666666666667,0.0,0.02666666666666667,0.03111111111111111,0.9422222222222222,20.0,27.5,,0.00015617256894273623,-0.0011540883189531045
08_volume_regime,vol_Q3,thinned144,1h,225,-0.00011495411014028574,-1.5893195193239507e-07,0.002839771547116232,0.0025919581047445517,0.006129128398777934,0.23555555555555555,0.05333333333333334,0.008888888888888889,0.04888888888888889,0.057777777777777775,0.8933333333333333,35.0,32.5,45.0,-8.110312504283623e-05,-0.017330367473418533
08_volume_regime,vol_Q3,thinned144,2h,225,-0.00013859172017876355,-0.00012194001963938828,0.004399784766753845,0.004543215598097672,0.010654611621599242,0.4311111111111111,0.1511111111111111,0.03111111111111111,0.14222222222222222,0.1688888888888889,0.6888888888888889,60.0,85.0,100.0,-0.0003380831856599764,0.008240164976292569
08_volume_regime,vol_Q3,thinned144,4h,225,0.0007238700962292826,-0.000170413031006178,0.0074404652906758795,0.006274709713740445,0.016537420242269268,0.6133333333333333,0.3377777777777778,0.08888888888888889,0.30666666666666664,0.28888888888888886,0.40444444444444444,80.0,130.0,142.5,-0.0005215053639605616,0.06634989064137015
08_volume_regime,vol_Q3,thinned144,12h,225,0.001403192316842124,0.0017530196927715291,0.01088937725617356,0.009164100565227318,0.02394197543652296,0.7555555555555555,0.5111111111111111,0.23555555555555555,0.4222222222222222,0.4088888888888889,0.1688888888888889,95.0,175.0,340.0,0.0007980960984590446,-0.00193783100212791
08_volume_regime,vol_Q3_bull,full,15m,14286,2.99606825634943e-05,-3.984375912902127e-05,0.0010978039563227515,0.0011182371497134858,0.002708631833622051,0.06033879322413552,0.007069858602827944,0.000629987400251995,0.006929861402771945,0.008609827803443932,0.9844603107937842,10.0,15.0,15.0,6.476158048718261e-07,-0.0027958555342518076
08_volume_regime,vol_Q3_bull,full,30m,14286,6.172648009095051e-05,-9.6278448619036e-05,0.0016257364000004104,0.001658507021872313,0.003928872536132775,0.13040739185216296,0.028419431611367774,0.0032199356012879744,0.028209435811283774,0.023029539409211815,0.9487610247795044,20.0,22.5,25.0,-2.7328104157731126e-05,-0.0016458383825524413
08_volume_regime,vol_Q3_bull,full,1h,14286,0.00010763612749356633,-0.00012520146624545037,0.002361481773029195,0.0024356512490611992,0.005769881413112149,0.2379952400951981,0.07146857062858743,0.013719725605487891,0.07034859302813944,0.05823883522329554,0.871412571748565,30.0,40.0,45.0,-5.32939590774939e-06,-0.0022462996320672113
