timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,30,7,23,0.23333333333333334,-1.3922260598960254,1.1286473782926645,0.5643233410897618,-3.085196779278452,-3.085196779278452,16.914803220721538,16.914803220721545,16.914803220721538,4.116115927072347,0.1957173577696019
5m,DEVELOPMENT,2024-02,35,17,18,0.4857142857142857,3.0660477534319166,1.2477270710819097,0.623864302052823,1.1944563802971835,-1.8907403989812683,18.10925960101873,18.10925960101874,18.10925960101873,1.184985132548153,0.06444616421494562
5m,DEVELOPMENT,2024-03,50,19,31,0.38,1.5605420913443286,1.7470297131529398,0.8735152467118833,-1.0600028685204943,-2.9507432675017626,17.04925673249823,17.049256732498254,17.04925673249823,3.7608230654704737,0.1955089583146537
5m,DEVELOPMENT,2024-04,40,10,30,0.25,-1.2219130780930427,1.27813868282199,0.639069035932653,-3.1391207968476857,-6.089864064349449,13.910135935650537,13.91013593565058,13.910135935650537,3.8452680146634712,0.21656888378455996
5m,DEVELOPMENT,2024-05,31,11,20,0.3548387096774194,0.4325784523633676,0.8343793699691175,0.4171897931291256,-0.8189907107348754,-6.9088547750843246,13.091145224915667,13.091145224915707,13.091145224915667,1.0397776222636228,0.07474963775147288
5m,DEVELOPMENT,2024-06,18,8,10,0.4444444444444444,0.8794060520679433,0.4728212847255669,0.23641086221426538,0.1701739051281111,-6.738680869956213,13.261319130043775,13.261319130043818,13.261319130043775,1.1103466695476207,0.08046542091380139
5m,DEVELOPMENT,2024-07,32,13,19,0.40625,1.096710445883618,0.8499189243294055,0.4249597363422636,-0.17816821478805112,-6.916849084744264,13.083150915255727,13.08315091525577,13.083150915255727,1.135435457381348,0.08091969538948662
5m,DEVELOPMENT,2024-08,30,8,22,0.26666666666666666,-0.6004069503917296,0.7216643694612299,0.3608320346288427,-1.6829033544818022,-8.599752439226066,-4.565237077258644e-13,11.400247560773968,11.35596817022972,1.9342359264744946,0.14660496730649286
5m,VALIDATION,2024-09,27,10,17,0.37037037037037035,0.7764927654599835,1.0447322186652106,0.5223663034557327,-0.7906057566609598,-0.7906057566609598,19.20939424333904,19.209394243339034,19.20939424333904,1.6933921239493763,0.08346535600137274
5m,VALIDATION,2024-10,30,13,17,0.43333333333333335,1.9346396768060836,1.1406699769317805,0.5703354721257443,0.2236342277485586,-0.5669715289124012,19.433028471087606,19.433028471087592,19.433028471087606,1.2025498475469867,0.06218763081569195
5m,VALIDATION,2024-11,45,18,27,0.4,2.0643728519480917,1.7266255634741048,0.8633132978301803,-0.5255660093561931,-1.0925375382685942,-2.1671553440683056e-13,18.90746246173139,18.78036828970836,1.5488365634634746,0.07694869999265515
5m,VALIDATION,2024-12,38,8,30,0.21052631578947367,-2.074016612297927,1.2879546069581398,0.6439767849748484,-4.005948004230915,-5.0984855424995095,14.901514457500502,14.901514457500477,14.901514457500502,4.347278471083509,0.22933120040867097
