timeframe,period_role,metric,value
15m,DEVELOPMENT,sum_of_winning_net_pnl,27.795487625884483
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.0
15m,DEVELOPMENT,unresolved_reserved,0.0
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,9.494769229727911
1h,DEVELOPMENT,ending_realized_equity,9.494769229727536
1h,DEVELOPMENT,ending_mtm_equity,9.49476922972751
1h,DEVELOPMENT,total_net_pnl,-10.505230770272457
1h,DEVELOPMENT,total_gross_pnl,-0.7737271656060831
1h,DEVELOPMENT,total_fees,6.487669198732361
1h,DEVELOPMENT,total_slippage,3.2438344059340123
1h,DEVELOPMENT,signals,661
1h,DEVELOPMENT,filled_trades,233
1h,DEVELOPMENT,closed_trades,233
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,428
1h,DEVELOPMENT,ignored_position_open,428
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,73
1h,DEVELOPMENT,sl_count,160
1h,DEVELOPMENT,win_count,73
1h,DEVELOPMENT,loss_count,160
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.3133047210300429
1h,DEVELOPMENT,loss_rate,0.6866952789699571
1h,DEVELOPMENT,average_winning_trade,0.23982140824846646
1h,DEVELOPMENT,average_losing_trade,-0.1750762098275657
1h,DEVELOPMENT,median_winning_trade,0.24185934595764308
1h,DEVELOPMENT,median_losing_trade,-0.17460127872566478
1h,DEVELOPMENT,profit_factor,0.6249765037815831
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.045086827340225136
1h,DEVELOPMENT,average_R_per_closed_trade,-0.30994573819741994
1h,DEVELOPMENT,expectancy_per_trade,-0.045086827340225136
1h,DEVELOPMENT,expectancy_R,-0.30994573819741994
1h,DEVELOPMENT,median_R,-1.2484504999999915
1h,DEVELOPMENT,total_R,-72.21735699999884
1h,DEVELOPMENT,average_holding_time,0 days 07:32:11.330472103
1h,DEVELOPMENT,median_holding_time,0 days 03:00:00
1h,DEVELOPMENT,max_holding_time,2 days 06:00:00
1h,DEVELOPMENT,average_holding_candles,90.43776824000001
1h,DEVELOPMENT,median_holding_candles,36.0
1h,DEVELOPMENT,max_holding_candles,648.0
1h,DEVELOPMENT,max_consecutive_wins,4
1h,DEVELOPMENT,max_consecutive_losses,12
1h,DEVELOPMENT,max_drawdown,10.790414612539367
1h,DEVELOPMENT,max_drawdown_pct,0.5395207306269684
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-01 00:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-23 03:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.33355150246800136
1h,DEVELOPMENT,sum_of_winning_net_pnl,17.50696280213805
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
