timeframe,period_role,metric,value
5m,DEVELOPMENT,starting_capital,20.0
5m,DEVELOPMENT,ending_cash,12.20238289233988
5m,DEVELOPMENT,ending_realized_equity,12.202382892339662
5m,DEVELOPMENT,ending_mtm_equity,12.202382892339664
5m,DEVELOPMENT,total_net_pnl,-7.797617107660338
5m,DEVELOPMENT,total_gross_pnl,-1.671067176454896
5m,DEVELOPMENT,total_fees,4.084366899314983
5m,DEVELOPMENT,total_slippage,2.0421830318904592
5m,DEVELOPMENT,signals,140
5m,DEVELOPMENT,filled_trades,125
5m,DEVELOPMENT,closed_trades,125
5m,DEVELOPMENT,open_end_of_data,0
5m,DEVELOPMENT,ignored_signals,15
5m,DEVELOPMENT,ignored_position_open,15
5m,DEVELOPMENT,ignored_no_next_candle,0
5m,DEVELOPMENT,ignored_insufficient_cash,0
5m,DEVELOPMENT,tp_count,36
5m,DEVELOPMENT,sl_count,89
5m,DEVELOPMENT,win_count,36
5m,DEVELOPMENT,loss_count,89
5m,DEVELOPMENT,scratch_count,0
5m,DEVELOPMENT,win_rate,0.288
5m,DEVELOPMENT,loss_rate,0.712
5m,DEVELOPMENT,average_winning_trade,0.2870958719528961
5m,DEVELOPMENT,average_losing_trade,-0.2037423426737595
5m,DEVELOPMENT,median_winning_trade,0.27942553350958266
5m,DEVELOPMENT,median_losing_trade,-0.19921956277754316
5m,DEVELOPMENT,profit_factor,0.5699780702568015
5m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.062380936861282696
5m,DEVELOPMENT,average_R_per_closed_trade,-0.38574606799999445
5m,DEVELOPMENT,expectancy_per_trade,-0.062380936861282696
5m,DEVELOPMENT,expectancy_R,-0.38574606799999445
5m,DEVELOPMENT,median_R,-1.248450499999992
5m,DEVELOPMENT,total_R,-48.2182584999993
5m,DEVELOPMENT,average_holding_time,0 days 04:15:50.400000
5m,DEVELOPMENT,median_holding_time,0 days 01:00:00
5m,DEVELOPMENT,max_holding_time,3 days 07:55:00
5m,DEVELOPMENT,average_holding_candles,51.168
5m,DEVELOPMENT,median_holding_candles,12.0
5m,DEVELOPMENT,max_holding_candles,959.0
5m,DEVELOPMENT,max_consecutive_wins,4
5m,DEVELOPMENT,max_consecutive_losses,8
5m,DEVELOPMENT,max_drawdown,8.621374340892825
5m,DEVELOPMENT,max_drawdown_pct,0.4140162721035776
5m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-11 16:00:00+00:00
5m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-30 16:25:00+00:00
5m,DEVELOPMENT,largest_win_net_pnl,0.3568450419746833
5m,DEVELOPMENT,sum_of_winning_net_pnl,10.335451390304259
5m,DEVELOPMENT,months_with_closed_trades,8
5m,DEVELOPMENT,max_month_share_of_net,
5m,DEVELOPMENT,open_entry_fees,0.0
5m,DEVELOPMENT,unresolved_reserved,0.0
15m,DEVELOPMENT,starting_capital,20.0
15m,DEVELOPMENT,ending_cash,10.460585120523099
15m,DEVELOPMENT,ending_realized_equity,10.460585120522882
15m,DEVELOPMENT,ending_mtm_equity,10.460585120522875
15m,DEVELOPMENT,total_net_pnl,-9.539414879477118
15m,DEVELOPMENT,total_gross_pnl,-3.8318127496242735
15m,DEVELOPMENT,total_fees,3.805068725204163
15m,DEVELOPMENT,total_slippage,1.902533404648681
15m,DEVELOPMENT,signals,138
15m,DEVELOPMENT,filled_trades,123
15m,DEVELOPMENT,closed_trades,123
15m,DEVELOPMENT,open_end_of_data,0
15m,DEVELOPMENT,ignored_signals,15
15m,DEVELOPMENT,ignored_position_open,15
15m,DEVELOPMENT,ignored_no_next_candle,0
15m,DEVELOPMENT,ignored_insufficient_cash,0
15m,DEVELOPMENT,tp_count,30
15m,DEVELOPMENT,sl_count,93
15m,DEVELOPMENT,win_count,30
15m,DEVELOPMENT,loss_count,93
15m,DEVELOPMENT,scratch_count,0
15m,DEVELOPMENT,win_rate,0.24390243902439024
15m,DEVELOPMENT,loss_rate,0.7560975609756098
15m,DEVELOPMENT,average_winning_trade,0.27700421389354396
15m,DEVELOPMENT,average_losing_trade,-0.19193055157294014
15m,DEVELOPMENT,median_winning_trade,0.28916645696522153
15m,DEVELOPMENT,median_losing_trade,-0.19029829320644115
15m,DEVELOPMENT,profit_factor,0.46556526461196074
15m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.07755621853233428
15m,DEVELOPMENT,average_R_per_closed_trade,-0.5178403780487746
15m,DEVELOPMENT,expectancy_per_trade,-0.07755621853233428
15m,DEVELOPMENT,expectancy_R,-0.5178403780487746
15m,DEVELOPMENT,median_R,-1.2484504999999921
15m,DEVELOPMENT,total_R,-63.694366499999276
15m,DEVELOPMENT,average_holding_time,0 days 06:34:16.097560976
15m,DEVELOPMENT,median_holding_time,0 days 02:15:00
15m,DEVELOPMENT,max_holding_time,3 days 07:45:00
15m,DEVELOPMENT,average_holding_candles,78.85365853333333
15m,DEVELOPMENT,median_holding_candles,27.0
15m,DEVELOPMENT,max_holding_candles,957.0
15m,DEVELOPMENT,max_consecutive_wins,2
15m,DEVELOPMENT,max_consecutive_losses,13
15m,DEVELOPMENT,max_drawdown,10.744559271542661
15m,DEVELOPMENT,max_drawdown_pct,0.5152147042931328
15m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-03-05 17:45:00+00:00
15m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-20 17:00:00+00:00
15m,DEVELOPMENT,largest_win_net_pnl,0.35407303659596795
15m,DEVELOPMENT,sum_of_winning_net_pnl,8.31012641680632
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.0
15m,DEVELOPMENT,unresolved_reserved,0.0
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,11.110950729307682
1h,DEVELOPMENT,ending_realized_equity,11.110950729307547
1h,DEVELOPMENT,ending_mtm_equity,11.110950729307532
1h,DEVELOPMENT,total_net_pnl,-8.889049270692455
1h,DEVELOPMENT,total_gross_pnl,-5.560813734050703
1h,DEVELOPMENT,total_fees,2.2188246178968685
1h,DEVELOPMENT,total_slippage,1.1094109187448837
1h,DEVELOPMENT,signals,80
1h,DEVELOPMENT,filled_trades,73
1h,DEVELOPMENT,closed_trades,73
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,7
1h,DEVELOPMENT,ignored_position_open,7
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,11
1h,DEVELOPMENT,sl_count,62
1h,DEVELOPMENT,win_count,11
1h,DEVELOPMENT,loss_count,62
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.1506849315068493
1h,DEVELOPMENT,loss_rate,0.8493150684931506
1h,DEVELOPMENT,average_winning_trade,0.2652640082475275
1h,DEVELOPMENT,average_losing_trade,-0.19043473163572996
1h,DEVELOPMENT,median_winning_trade,0.2644880875030248
1h,DEVELOPMENT,median_losing_trade,-0.1887204216976017
1h,DEVELOPMENT,profit_factor,0.24713437932755952
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.12176779822866379
1h,DEVELOPMENT,average_R_per_closed_trade,-0.7970735616438311
1h,DEVELOPMENT,expectancy_per_trade,-0.12176779822866379
1h,DEVELOPMENT,expectancy_R,-0.7970735616438311
1h,DEVELOPMENT,median_R,-1.2484504999999955
1h,DEVELOPMENT,total_R,-58.18636999999968
1h,DEVELOPMENT,average_holding_time,0 days 08:01:38.630136986
1h,DEVELOPMENT,median_holding_time,0 days 02:00:00
1h,DEVELOPMENT,max_holding_time,3 days 05:00:00
1h,DEVELOPMENT,average_holding_candles,96.32876712
1h,DEVELOPMENT,median_holding_candles,24.0
1h,DEVELOPMENT,max_holding_candles,924.0
1h,DEVELOPMENT,max_consecutive_wins,2
1h,DEVELOPMENT,max_consecutive_losses,18
1h,DEVELOPMENT,max_drawdown,8.889049270692468
1h,DEVELOPMENT,max_drawdown_pct,0.44445246353462337
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-01 00:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-28 07:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.32939143713301516
1h,DEVELOPMENT,sum_of_winning_net_pnl,2.917904090722802
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
