timeframe,period_role,metric,value
5m,DEVELOPMENT,starting_capital,20.0
5m,DEVELOPMENT,ending_cash,0.0
5m,DEVELOPMENT,ending_realized_equity,4.532309879248881
5m,DEVELOPMENT,ending_mtm_equity,4.508133962893581
5m,DEVELOPMENT,total_net_pnl,-15.46769012075112
5m,DEVELOPMENT,total_gross_pnl,4.32993836428144
5m,DEVELOPMENT,total_fees,13.198418268365803
5m,DEVELOPMENT,total_slippage,6.5992102166667586
5m,DEVELOPMENT,signals,2253
5m,DEVELOPMENT,filled_trades,507
5m,DEVELOPMENT,closed_trades,506
5m,DEVELOPMENT,open_end_of_data,1
5m,DEVELOPMENT,ignored_signals,1746
5m,DEVELOPMENT,ignored_position_open,1746
5m,DEVELOPMENT,ignored_no_next_candle,0
5m,DEVELOPMENT,ignored_insufficient_cash,0
5m,DEVELOPMENT,tp_count,163
5m,DEVELOPMENT,sl_count,343
5m,DEVELOPMENT,win_count,163
5m,DEVELOPMENT,loss_count,343
5m,DEVELOPMENT,scratch_count,0
5m,DEVELOPMENT,win_rate,0.3221343873517787
5m,DEVELOPMENT,loss_rate,0.6778656126482213
5m,DEVELOPMENT,average_winning_trade,0.23949551685082554
5m,DEVELOPMENT,average_losing_trade,-0.15890804480301948
5m,DEVELOPMENT,median_winning_trade,0.25477552567238715
5m,DEVELOPMENT,median_losing_trade,-0.1528382593671402
5m,DEVELOPMENT,profit_factor,0.7162175991127908
5m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.030568557550891544
5m,DEVELOPMENT,average_R_per_closed_trade,-0.2834964594861604
5m,DEVELOPMENT,expectancy_per_trade,-0.030568557550891544
5m,DEVELOPMENT,expectancy_R,-0.2834964594861604
5m,DEVELOPMENT,median_R,-1.248450499999991
5m,DEVELOPMENT,total_R,-143.44920849999718
5m,DEVELOPMENT,average_holding_time,0 days 07:42:08.063241107
5m,DEVELOPMENT,median_holding_time,0 days 03:37:30
5m,DEVELOPMENT,max_holding_time,3 days 07:55:00
5m,DEVELOPMENT,average_holding_candles,92.42687747
5m,DEVELOPMENT,median_holding_candles,43.5
5m,DEVELOPMENT,max_holding_candles,959.0
5m,DEVELOPMENT,max_consecutive_wins,7
5m,DEVELOPMENT,max_consecutive_losses,15
5m,DEVELOPMENT,max_drawdown,16.69618243649593
5m,DEVELOPMENT,max_drawdown_pct,0.7901245983355232
5m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-09 12:50:00+00:00
5m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-30 16:30:00+00:00
5m,DEVELOPMENT,largest_win_net_pnl,0.3608676858746511
5m,DEVELOPMENT,sum_of_winning_net_pnl,39.03776924668456
5m,DEVELOPMENT,months_with_closed_trades,8
5m,DEVELOPMENT,max_month_share_of_net,
5m,DEVELOPMENT,open_entry_fees,0.004527782097152417
5m,DEVELOPMENT,unresolved_reserved,4.53230987924957
15m,DEVELOPMENT,starting_capital,20.0
15m,DEVELOPMENT,ending_cash,0.0
15m,DEVELOPMENT,ending_realized_equity,5.536907478008688
15m,DEVELOPMENT,ending_mtm_equity,5.532551959838825
15m,DEVELOPMENT,total_net_pnl,-14.463092521991314
15m,DEVELOPMENT,total_gross_pnl,-3.78797309913653
15m,DEVELOPMENT,total_fees,7.116746913232306
15m,DEVELOPMENT,total_slippage,3.5583725096224783
15m,DEVELOPMENT,signals,732
15m,DEVELOPMENT,filled_trades,296
15m,DEVELOPMENT,closed_trades,295
15m,DEVELOPMENT,open_end_of_data,1
15m,DEVELOPMENT,ignored_signals,436
15m,DEVELOPMENT,ignored_position_open,436
15m,DEVELOPMENT,ignored_no_next_candle,0
15m,DEVELOPMENT,ignored_insufficient_cash,0
15m,DEVELOPMENT,tp_count,81
15m,DEVELOPMENT,sl_count,214
15m,DEVELOPMENT,win_count,81
15m,DEVELOPMENT,loss_count,214
15m,DEVELOPMENT,scratch_count,0
15m,DEVELOPMENT,win_rate,0.2745762711864407
15m,DEVELOPMENT,loss_rate,0.7254237288135593
15m,DEVELOPMENT,average_winning_trade,0.21606175101949154
15m,DEVELOPMENT,average_losing_trade,-0.14936492689051464
15m,DEVELOPMENT,median_winning_trade,0.21979706518324604
15m,DEVELOPMENT,median_losing_trade,-0.1462972321712722
15m,DEVELOPMENT,profit_factor,0.5475206535947601
15m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.049027432277936656
15m,DEVELOPMENT,average_R_per_closed_trade,-0.4259568677966051
15m,DEVELOPMENT,expectancy_per_trade,-0.049027432277936656
15m,DEVELOPMENT,expectancy_R,-0.4259568677966051
15m,DEVELOPMENT,median_R,-1.2484504999999924
15m,DEVELOPMENT,total_R,-125.65727599999848
15m,DEVELOPMENT,average_holding_time,0 days 07:42:06.101694915
15m,DEVELOPMENT,median_holding_time,0 days 03:45:00
15m,DEVELOPMENT,max_holding_time,3 days 07:45:00
15m,DEVELOPMENT,average_holding_candles,92.42033898
15m,DEVELOPMENT,median_holding_candles,45.0
15m,DEVELOPMENT,max_holding_candles,957.0
15m,DEVELOPMENT,max_consecutive_wins,4
15m,DEVELOPMENT,max_consecutive_losses,21
15m,DEVELOPMENT,max_drawdown,14.96364999283304
15m,DEVELOPMENT,max_drawdown_pct,0.7340097211173797
15m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-07 13:45:00+00:00
15m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-30 16:15:00+00:00
