timeframe,period_role,metric,value
15m,DEVELOPMENT,sum_of_winning_net_pnl,34.32319766425198
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.003692775893227058
15m,DEVELOPMENT,unresolved_reserved,3.696468669120285
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,0.0
1h,DEVELOPMENT,ending_realized_equity,9.647538626099806
1h,DEVELOPMENT,ending_mtm_equity,9.631284461833214
1h,DEVELOPMENT,total_net_pnl,-10.3524613739002
1h,DEVELOPMENT,total_gross_pnl,0.258430911398184
1h,DEVELOPMENT,total_fees,7.073928147127357
1h,DEVELOPMENT,total_slippage,3.536964138171027
1h,DEVELOPMENT,signals,461
1h,DEVELOPMENT,filled_trades,247
1h,DEVELOPMENT,closed_trades,246
1h,DEVELOPMENT,open_end_of_data,1
1h,DEVELOPMENT,ignored_signals,214
1h,DEVELOPMENT,ignored_position_open,214
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,79
1h,DEVELOPMENT,sl_count,167
1h,DEVELOPMENT,win_count,79
1h,DEVELOPMENT,loss_count,167
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.32113821138211385
1h,DEVELOPMENT,loss_rate,0.6788617886178862
1h,DEVELOPMENT,average_winning_trade,0.24971806552111306
1h,DEVELOPMENT,average_losing_trade,-0.18012088952136607
1h,DEVELOPMENT,median_winning_trade,0.25595864460654166
1h,DEVELOPMENT,median_losing_trade,-0.18032012177039328
1h,DEVELOPMENT,profit_factor,0.6558378829085914
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.04208317631666748
1h,DEVELOPMENT,average_R_per_closed_trade,-0.2864805060975557
1h,DEVELOPMENT,expectancy_per_trade,-0.04208317631666748
1h,DEVELOPMENT,expectancy_R,-0.2864805060975557
1h,DEVELOPMENT,median_R,-1.2484504999999912
1h,DEVELOPMENT,total_R,-70.4742044999987
1h,DEVELOPMENT,average_holding_time,0 days 10:41:27.804878049
1h,DEVELOPMENT,median_holding_time,0 days 06:00:00
1h,DEVELOPMENT,max_holding_time,3 days 08:00:00
1h,DEVELOPMENT,average_holding_candles,128.29268292666669
1h,DEVELOPMENT,median_holding_candles,72.0
1h,DEVELOPMENT,max_holding_candles,960.0
1h,DEVELOPMENT,max_consecutive_wins,5
1h,DEVELOPMENT,max_consecutive_losses,20
1h,DEVELOPMENT,max_drawdown,10.952213347660745
1h,DEVELOPMENT,max_drawdown_pct,0.534544487508839
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-02 08:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-29 01:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.34906113886114176
1h,DEVELOPMENT,sum_of_winning_net_pnl,19.727727176167935
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.009637900725374817
1h,DEVELOPMENT,unresolved_reserved,9.647538626100191
