timeframe,period_role,metric,value
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.008350198814298148
15m,DEVELOPMENT,unresolved_reserved,8.358549013112446
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,7.282510766478584
1h,DEVELOPMENT,ending_realized_equity,7.282510766478232
1h,DEVELOPMENT,ending_mtm_equity,7.282510766478191
1h,DEVELOPMENT,total_net_pnl,-12.71748923352176
1h,DEVELOPMENT,total_gross_pnl,-2.7142647154178343
1h,DEVELOPMENT,total_fees,6.6688167977802975
1h,DEVELOPMENT,total_slippage,3.334407720323629
1h,DEVELOPMENT,signals,1044
1h,DEVELOPMENT,filled_trades,247
1h,DEVELOPMENT,closed_trades,247
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,797
1h,DEVELOPMENT,ignored_position_open,797
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,70
1h,DEVELOPMENT,sl_count,177
1h,DEVELOPMENT,win_count,70
1h,DEVELOPMENT,loss_count,177
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.2834008097165992
1h,DEVELOPMENT,loss_rate,0.7165991902834008
1h,DEVELOPMENT,average_winning_trade,0.24119436869940905
1h,DEVELOPMENT,average_losing_trade,-0.16723782509875929
1h,DEVELOPMENT,median_winning_trade,0.233435570945103
1h,DEVELOPMENT,median_losing_trade,-0.16359214582441137
1h,DEVELOPMENT,profit_factor,0.5703709874492497
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.05148781066203142
1h,DEVELOPMENT,average_R_per_closed_trade,-0.399522949392708
1h,DEVELOPMENT,expectancy_per_trade,-0.05148781066203142
1h,DEVELOPMENT,expectancy_R,-0.399522949392708
1h,DEVELOPMENT,median_R,-1.2484504999999924
1h,DEVELOPMENT,total_R,-98.68216849999888
1h,DEVELOPMENT,average_holding_time,0 days 07:15:47.368421053
1h,DEVELOPMENT,median_holding_time,0 days 03:00:00
1h,DEVELOPMENT,max_holding_time,2 days 08:00:00
1h,DEVELOPMENT,average_holding_candles,87.15789473666666
1h,DEVELOPMENT,median_holding_candles,36.0
1h,DEVELOPMENT,max_holding_candles,672.0
1h,DEVELOPMENT,max_consecutive_wins,4
1h,DEVELOPMENT,max_consecutive_losses,13
1h,DEVELOPMENT,max_drawdown,12.751441562388626
1h,DEVELOPMENT,max_drawdown_pct,0.6364915595818375
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-03 09:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-26 21:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.3319702125297944
1h,DEVELOPMENT,sum_of_winning_net_pnl,16.88360580895863
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
