timeframe,period_role,metric,value
15m,DEVELOPMENT,sum_of_winning_net_pnl,16.624332234813487
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.0
15m,DEVELOPMENT,unresolved_reserved,0.0
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,18.893667487243054
1h,DEVELOPMENT,ending_realized_equity,18.893667487242883
1h,DEVELOPMENT,ending_mtm_equity,18.89366748724289
1h,DEVELOPMENT,total_net_pnl,-1.1063325127571177
1h,DEVELOPMENT,total_gross_pnl,2.8664674564270642
1h,DEVELOPMENT,total_fees,2.648532835044978
1h,DEVELOPMENT,total_slippage,1.3242671341392045
1h,DEVELOPMENT,signals,88
1h,DEVELOPMENT,filled_trades,64
1h,DEVELOPMENT,closed_trades,64
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,24
1h,DEVELOPMENT,ignored_position_open,24
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,25
1h,DEVELOPMENT,sl_count,39
1h,DEVELOPMENT,win_count,25
1h,DEVELOPMENT,loss_count,39
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.390625
1h,DEVELOPMENT,loss_rate,0.609375
1h,DEVELOPMENT,average_winning_trade,0.35965965158479435
1h,DEVELOPMENT,average_losing_trade,-0.2589185590353071
1h,DEVELOPMENT,median_winning_trade,0.36051572745413685
1h,DEVELOPMENT,median_losing_trade,-0.25989657159330765
1h,DEVELOPMENT,profit_factor,0.8904385207734865
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.017286445511829972
1h,DEVELOPMENT,average_R_per_closed_trade,-0.07833272656249507
1h,DEVELOPMENT,expectancy_per_trade,-0.017286445511829972
1h,DEVELOPMENT,expectancy_R,-0.07833272656249507
1h,DEVELOPMENT,median_R,-1.2484504999999908
1h,DEVELOPMENT,total_R,-5.013294499999684
1h,DEVELOPMENT,average_holding_time,0 days 07:28:07.500000
1h,DEVELOPMENT,median_holding_time,0 days 03:00:00
1h,DEVELOPMENT,max_holding_time,2 days 04:00:00
1h,DEVELOPMENT,average_holding_candles,89.625
1h,DEVELOPMENT,median_holding_candles,36.0
1h,DEVELOPMENT,max_holding_candles,624.0
1h,DEVELOPMENT,max_consecutive_wins,4
1h,DEVELOPMENT,max_consecutive_losses,9
1h,DEVELOPMENT,max_drawdown,3.4697754083031818
1h,DEVELOPMENT,max_drawdown_pct,0.1551539011461525
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-04-23 00:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-26 06:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.3832096513008184
1h,DEVELOPMENT,sum_of_winning_net_pnl,8.991491289619859
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
