strategy_id,family,timeframe,group,robustness_score,definition,gate_failures,flags,val_dev_avg_R_ratio,val_dev_pf_ratio,val_dev_win_rate_ratio,val_dev_trade_count_ratio,val_dev_dd_pct_ratio,beat_BASELINE_A_val_avg_R,beat_BASELINE_A_val_net,beat_RANDOM_val_avg_R,beat_RANDOM_val_net,monthly_consistency_dev,monthly_consistency_val,dev_range12_median,dev_range12_q1,dev_range12_q3,dev_range24_median,dev_closed_trades,dev_wins,dev_losses,dev_win_rate,dev_gross_pnl,dev_fees,dev_slippage,dev_net_pnl,dev_avg_net_pnl,dev_avg_R,dev_profit_factor,dev_max_drawdown,dev_max_drawdown_pct,dev_final_equity,dev_median_holding_time,dev_average_holding_time,dev_longest_winning_streak,dev_longest_losing_streak,dev_signals,dev_filled_trades,dev_tp_count,dev_sl_count,dev_months_with_trades,dev_largest_win_net_pnl,dev_sum_of_winning_net_pnl,dev_max_month_share_of_net,val_closed_trades,val_wins,val_losses,val_win_rate,val_gross_pnl,val_fees,val_slippage,val_net_pnl,val_avg_net_pnl,val_avg_R,val_profit_factor,val_max_drawdown,val_max_drawdown_pct,val_final_equity,val_median_holding_time,val_average_holding_time,val_longest_winning_streak,val_longest_losing_streak,val_signals,val_filled_trades,val_tp_count,val_sl_count,val_months_with_trades,val_largest_win_net_pnl,val_sum_of_winning_net_pnl,val_max_month_share_of_net
A04,TREND FOLLOWING,15m,GROUP 3,,EMA20>EMA50; close crosses back above EMA20 after prior close <= EMA20; close > previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.4123446100696724,1.2227525315485293,1.1393298059964725,0.5294117647058824,0.4118104259298873,True,True,True,True,2/8 months with trades were net-positive,2/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,187,63,124,0.33689839572192515,1.7024170144310757,6.103184059353165,3.051592455280492,-7.45235950020258,-0.039852189840655514,-0.2392708502673746,0.7057932369224056,7.546821191241783,0.37734105956208913,12.547640499797417,0 days 05:30:00,0 days 11:00:19.251336897,4,9,522,188,63,124,8,0.3268326939026678,17.877987845473793,,99,38,61,0.3838383838383838,3.764443852145597,3.875588457726989,1.9377951699742386,-2.0489397755556302,-0.02069636136924879,-0.09866204545453955,0.8630104671967024,3.3026824649183375,0.1553929824590989,17.95106022444437,0 days 06:45:00,0 days 11:04:05.454545455,3,5,279,99,38,61,4,0.36457975026880446,12.907967760567512,
A04,TREND FOLLOWING,1h,GROUP 3,,EMA20>EMA50; close crosses back above EMA20 after prior close <= EMA20; close > previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.9193435432024442,1.012783224311416,1.012987012987013,0.5641025641025641,0.7714079569514214,True,True,True,True,1/8 months with trades were net-positive,0/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,78,28,50,0.358974358974359,1.9207980932904913,3.057757035435037,1.5288789979168558,-2.665837940061401,-0.03417740948796669,-0.17314226923076234,0.7822350092315453,4.750015091517856,0.21699667701704223,17.3341620599386,0 days 07:00:00,0 days 09:42:18.461538462,5,7,116,78,28,50,8,0.3754905666364516,9.575973430325206,,44,16,28,0.36363636363636365,1.1665421932674602,1.7358304443718537,0.8679155138213637,-1.437203764925757,-0.03266372193013084,-0.15917722727272057,0.7922344948187948,3.573397527331249,0.167392963282964,18.562796235074245,0 days 07:00:00,0 days 12:15:00,3,6,72,44,16,28,4,0.36258662455999097,5.480228287484881,
B01,BREAKOUT,5m,GROUP 3,,20-bar close breakout; EMA20>EMA50; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,,0.6784116781444858,1.0777178458608345,1.0833333333333333,0.46153846153846156,0.456478324376803,True,True,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,429,142,287,0.331002331002331,4.352612513634153,11.992204302260522,5.996103239282778,-13.635695027909147,-0.03178483689489312,-0.2569325209790153,0.7236844030221301,15.097031260280504,0.7049482734070986,6.3643049720908405,0 days 04:10:00,0 days 08:33:00.419580420,5,11,2633,430,142,287,8,0.36480252255342194,35.71256897544796,,198,71,127,0.35858585858585856,4.28951150271652,6.941040117686733,3.4705211312208624,-6.122049746191075,-0.03091944316258119,-0.17430602272726708,0.7799275959080941,6.52971636404761,0.3217936066171928,13.877950253808926,0 days 05:32:30,0 days 09:40:21.212121212,3,7,1420,198,71,127,4,0.34634959956366396,21.696293818749513,
B01,BREAKOUT,15m,GROUP 3,,20-bar close breakout; EMA20>EMA50; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.6647414749765781,1.1094205555309262,1.0919540229885056,0.5263157894736842,0.47807037719234996,False,False,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,266,87,179,0.32706766917293234,1.7094588948567748,8.11917787187423,4.059589363301381,-10.469308340318836,-0.03935830203127382,-0.26871880639097157,0.6914519268950297,11.656516181264971,0.5501676421344073,9.53069165968117,0 days 04:15:00,0 days 08:41:16.691729323,7,11,769,266,87,179,8,0.36196870272761683,23.461573920472652,,140,50,90,0.35714285714285715,2.7766796882194504,4.949068994921728,2.474535191630513,-4.64692449833279,-0.033192317845234215,-0.17862853571427997,0.7671109808588132,5.352186703973302,0.2630188521942219,15.35307550166721,0 days 05:15:00,0 days 09:14:34.285714286,4,8,475,140,50,90,4,0.3490611388611413,15.306461519904659,
B01,BREAKOUT,1h,GROUP 3,,20-bar close breakout; EMA20>EMA50; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.944717614072454,1.0153782855692042,1.0126865671641792,0.5677966101694916,0.6339371704626288,True,False,True,True,0/8 months with trades were net-positive,0/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,118,40,78,0.3389830508474576,1.4283134514092894,4.277077140756315,2.138538927456277,-4.987302616803303,-0.042265276413587315,-0.23302626271185892,0.717472568273108,5.44672900372303,0.2662210025206415,15.012697383196699,0 days 03:00:00,0 days 06:00:00,3,8,179,118,40,78,8,0.3507238388440528,12.665151823883829,,67,23,44,0.34328358208955223,0.9884226040327913,2.564991126621559,1.2824958104162858,-2.859064333005054,-0.04267260198515006,-0.22014401492536823,0.7285060663160822,3.480170195925435,0.16876738905565986,17.140935666994945,0 days 03:00:00,0 days 09:26:51.940298507,4,9,115,67,23,44,4,0.3537277050753409,7.671794659718044,
B02,BREAKOUT,5m,GROUP 3,,50-bar close breakout; EMA20>EMA50.,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,,0.7207943545299482,1.060688217974077,1.070780544342752,0.4847715736040609,0.48424929912878345,True,True,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,394,131,263,0.33248730964467005,4.482265256455869,11.581100121581088,5.790551181356256,-12.889386046481475,-0.03271417778294791,-0.25248426522842105,0.7288689411757625,14.236640677091874,0.666907334148607,7.1106139535185235,0 days 04:37:30,0 days 08:51:44.314720812,5,9,2192,394,131,263,8,0.3656021740922854,34.649933507598476,,191,68,123,0.35602094240837695,3.959648368721647,6.736898662100686,3.3684503209620718,-6.145700614341111,-0.03217644300702152,-0.18198923298428799,0.773102698352372,6.553169479728748,0.32294940914530834,13.854299385658889,0 days 05:05:00,0 days 09:21:27.958115183,4,11,1247,191,68,123,4,0.34634959956366396,20.940124425065484,
B02,BREAKOUT,15m,GROUP 3,,50-bar close breakout; EMA20>EMA50.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.7185481228910044,1.0753772758858129,1.0733870967741936,0.512396694214876,0.4377658418668461,False,False,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,242,80,162,0.3305785123966942,2.2646463634232044,7.875346091370745,3.9376736118465403,-9.54837333979408,-0.03945608818096728,-0.2582020702479286,0.7076153628019998,11.081854152713213,0.5230445765154832,10.451626660205923,0 days 04:00:00,0 days 07:23:18.347107438,5,11,634,242,80,162,8,0.3619687027276182,23.108518045809085,,124,44,80,0.3548387096774194,2.3789072462842467,4.459460930266922,2.229731059860016,-4.310284743842692,-0.034760360837441065,-0.18553061290322034,0.7609534812249658,4.659345882703855,0.22897104937218848,15.68971525615731,0 days 04:22:30,0 days 09:23:49.838709677,4,10,395,124,44,80,4,0.34906113886113904,13.720869886353297,
B02,BREAKOUT,1h,GROUP 3,,50-bar close breakout; EMA20>EMA50.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,1.708868734311994,0.8427850307095447,0.8985221674876848,0.6041666666666666,0.8097428850402633,False,False,True,True,2/8 months with trades were net-positive,0/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,96,35,61,0.3645833333333333,2.597857514947499,3.7032139181606856,1.8516076085445055,-2.956964011757692,-0.030801708455809294,-0.15634057812499422,0.799006365759769,3.808385784173975,0.1833544169814453,17.04303598824231,0 days 03:00:00,0 days 06:26:52.500000,3,8,153,96,35,61,8,0.3546774796263143,11.754765655379318,,58,19,39,0.3275862068965517,0.2653618343189623,2.156506973204816,1.0782535529427382,-2.969398691828592,-0.05119652916945848,-0.26716552586206427,0.6733906045039686,2.9693986918286193,0.14846993459143096,17.030601308171406,0 days 03:00:00,0 days 10:17:35.172413793,4,9,96,58,19,39,4,0.3404084318192243,6.122191240294694,
B03,BREAKOUT,5m,GROUP 3,,20-bar close breakout; previous 12-bar range below DEVELOPMENT median; EMA20>EMA50.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.6914231941288794,1.097590116727176,1.0697674418604652,0.5217391304347826,0.5481601904834148,True,True,True,True,2/8 months with trades were net-positive,2/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,253,86,167,0.33992094861660077,3.1440165588786524,8.169522498044387,4.084762035025904,-9.110267974191638,-0.036008964324868144,-0.23021678853754388,0.7283972741301125,10.217691690912785,0.4871883506369774,10.889732025808359,0 days 06:45:00,0 days 11:29:07.826086957,5,9,1562,254,86,167,8,0.35955031892714945,24.432355521258675,,132,48,84,0.36363636363636365,3.541804560583111,5.034002218642641,2.5170019947721842,-4.009199652831714,-0.030372724642664498,-0.15917722727272138,0.799481649136227,5.777740060057603,0.2670572590864662,15.990800347168285,0 days 08:47:30,0 days 12:15:36.363636364,7,9,894,132,48,84,4,0.36931898115869,15.984978613453045,
B03,BREAKOUT,15m,GROUP 3,,20-bar close breakout; previous 12-bar range below DEVELOPMENT median; EMA20>EMA50.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.7120717236042124,1.0739611117381926,1.0471698113207546,0.5945945945945946,0.581665220091864,True,True,True,True,3/8 months with trades were net-positive,2/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,148,53,95,0.3581081081081081,3.1941902665117543,5.337810310275003,2.668905953684761,-4.8125259974480095,-0.03251706755032439,-0.17573712499999436,0.7755022706543174,5.630170153215117,0.2704518393670111,15.187474002551989,0 days 06:30:00,0 days 11:51:41.351351351,6,8,440,148,53,95,8,0.35684504197468364,16.624332234813487,,88,33,55,0.375,2.9106211470995667,3.439775493562851,1.719888474436534,-2.2490428208998177,-0.02555730478295247,-0.12513743749999492,0.8328592807474035,3.3137384246062,0.15731242866966197,17.750957179100183,0 days 06:45:00,0 days 11:19:25.909090909,4,8,281,88,33,55,4,0.3600326996043402,11.2069410408238,
