rank,group,strategy_id,family,timeframe,robustness_score,dev_net_pnl,val_net_pnl,dev_avg_R,val_avg_R,val_profit_factor,val_max_drawdown_pct,dev_closed_trades,val_closed_trades,val_dev_avg_R_ratio,val_dev_pf_ratio,flags,gate_failures,beat_BASELINE_A,beat_RANDOM
20,GROUP 3,B03,BREAKOUT,1h,,-1.1063325127571177,-1.5252056557711458,-0.07833272656249507,-0.17862853571428197,0.7694868197119409,0.13790869569284842,64,42,2.2803819495772224,0.8641661403456805,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
21,GROUP 3,B03,BREAKOUT,5m,,-9.110267974191638,-4.009199652831714,-0.23021678853754388,-0.15917722727272138,0.799481649136227,0.2670572590864662,253,132,0.6914231941288794,1.097590116727176,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
22,GROUP 3,B04,BREAKOUT,15m,,-10.3653873837343,-4.719709851214343,-0.2731709418604589,-0.18483040217390714,0.7607947582474803,0.24909114752206288,258,138,0.6766107731484929,1.0866003133184228,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
23,GROUP 3,B04,BREAKOUT,1h,,-4.411277753007618,-2.642582044035698,-0.20653693478260332,-0.20456361363635914,0.7422268892968543,0.14968232519333957,115,66,0.9904456742890987,0.9972253360727943,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
24,GROUP 3,B04,BREAKOUT,5m,,-12.884194320833116,-6.698220234586973,-0.22914790624999454,-0.19475650502512,0.7574308126196045,0.3480037358908756,432,199,0.8499161446085639,1.0163130104367082,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
25,GROUP 3,BASELINE_A,BASELINE,15m,,-7.103575872697708,-2.5003073140457053,-0.2991718556337975,-0.15253531707316487,0.7919817540489807,0.15632489564705704,142,82,0.5098585117574573,1.2183582976316139,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
26,GROUP 3,BASELINE_A,BASELINE,1h,,-1.5814012875336652,-1.5004194621910505,-0.16497123404254863,-0.24994999999999476,0.6942420115398246,0.1128505659381674,47,30,1.5151126282751137,0.887801079252708,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
27,GROUP 3,BASELINE_A,BASELINE,5m,,-10.702167536789727,-7.303158897549327,-0.2569081916376245,-0.2971763749999942,0.6451721364141447,0.384369819178479,287,148,1.156741531306129,0.9197975016811412,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
28,GROUP 3,C01,MEAN REVERSION,15m,,-8.504848642077949,-3.934942054449257,-0.43367409199999496,-0.46701532608695123,0.5079378356776084,0.21828446538293184,125,46,1.076880852930815,0.9747019091189025,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
29,GROUP 3,C01,MEAN REVERSION,1h,,-8.587174626081547,-1.5004194621910572,-0.7107963846153803,-0.2499499999999963,0.6847695286417579,0.10672607947764004,78,30,0.3516478212466527,2.2523891596506798,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
30,GROUP 3,C01,MEAN REVERSION,5m,,-9.240794641452615,-1.4122995060583883,-0.5253984137930982,-0.21874685937499394,0.7295843093224375,0.17253540476596574,116,32,0.416344727415063,1.5864688111789036,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
31,GROUP 3,C03,MEAN REVERSION,15m,,-14.463092521991314,-4.792150145700729,-0.4259568677966051,-0.19121467647058327,0.7633584894752842,0.276798735852901,295,136,0.4489061943283152,1.3942094868265436,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
32,GROUP 3,C03,MEAN REVERSION,1h,,-9.63458015178882,-3.626654150260907,-0.4670153260869512,-0.3608944999999959,0.5685430000991211,0.23622922111059708,138,54,0.7727680010501472,1.1557169471705564,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
33,GROUP 3,C03,MEAN REVERSION,5m,,-15.46769012075112,-6.093284374704625,-0.2834964594861604,-0.151882986607137,0.7978822542256943,0.3218627488240366,506,224,0.5357491479167892,1.1140221284900915,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
34,GROUP 3,C04,MEAN REVERSION,15m,,-9.539414879477118,-2.2619940036366537,-0.5178403780487746,-0.22997998999999403,0.7213493834657991,0.1409717252209521,123,50,0.44411366851414696,1.5494055040103332,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
35,GROUP 3,C04,MEAN REVERSION,1h,,-8.889049270692455,-2.0445247721266133,-0.7970735616438311,-0.34980004999999603,0.5849696890829899,0.1295946782834323,73,30,0.4388554166551351,2.3670105740636473,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
36,GROUP 3,C04,MEAN REVERSION,5m,,-7.797617107660338,-2.0138727293661454,-0.38574606799999445,-0.27693649999999376,0.6706577300749068,0.17896322647814117,125,37,0.7179243626146249,1.1766377779635355,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,False
37,GROUP 3,D01,MOMENTUM,15m,,-11.700325488790972,-3.696388067751088,-0.24417832080924326,-0.11807257547169281,0.8433302924447403,0.26157917388955687,346,159,0.4835506079343274,1.1983245652191419,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
38,GROUP 3,D01,MOMENTUM,1h,,-10.505230770272457,-6.076284103475998,-0.30994573819741994,-0.2821596935483816,0.6733304425647194,0.3197453433627098,233,124,0.910351906076734,1.0773692106672141,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
39,GROUP 3,D01,MOMENTUM,5m,,-12.48495198362802,-6.743519513428963,-0.22808502554744028,-0.21216889999999344,0.7436000376715082,0.3508030174440503,411,185,0.9302184546782691,0.9997829008625025,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
40,GROUP 3,D02,MOMENTUM,15m,,-10.702167536789773,-5.561413692007651,-0.25690819163762524,-0.23493495488721192,0.7117506373027112,0.2957722665210692,287,133,0.9144704705196514,1.0157508650114484,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
