investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
07_range_position,pos12_Q4,full,1h,26340,4.535115015734917e-05,-0.0001978411548929082,0.0024385587594054625,0.0025257688673482326,0.006027304911841603,0.2528853454821564,0.0809415337889142,0.016552771450265756,0.07976461655277145,0.0615793470007593,0.8586560364464693,25.0,35.0,40.0,-0.00027878534798381205,0.013545360190464026
07_range_position,pos12_Q4,full,2h,26340,0.00010904696383521953,-7.817926144465526e-05,0.003633885494447431,0.0036118495828247887,0.008696767145263795,0.38200455580865605,0.1490888382687927,0.040015186028853456,0.1451784358390281,0.13067577828397875,0.7241457858769932,40.0,60.0,70.0,-0.0002943224274652434,0.011196378593098438
07_range_position,pos12_Q4,full,4h,26334,0.00023894732809017185,6.941505982838159e-05,0.005301629244073736,0.005197551416468438,0.012819223211530636,0.5216450216450217,0.260233918128655,0.08339029391660971,0.24610769347611453,0.23608263081947292,0.5178096757044125,65.0,105.0,130.0,-0.000281677273126002,0.005790917450818028
07_range_position,pos12_Q4,full,12h,26318,0.000913799672530256,0.000603799355493706,0.010245978605827877,0.009864433396531036,0.02435717736163822,0.7332244091496314,0.5093092180256859,0.24241963675051295,0.42613420472680297,0.4093396154723003,0.16452617980089673,115.0,235.0,347.5,-0.0003511242388187785,0.0019741515024528367
07_range_position,pos12_Q4,thinned144,15m,163,4.790844739628401e-05,-7.112117042262778e-05,0.0011772330997790181,0.001157520546812174,0.00291045312544343,0.08588957055214724,0.012269938650306749,0.0,0.012269938650306749,0.0,0.9877300613496932,10.0,12.5,,-9.267873343554722e-05,0.0024366116447256704
07_range_position,pos12_Q4,thinned144,30m,163,-0.00011771915227011517,-0.00016626016260168353,0.0017790064660481164,0.0018032582947867803,0.0042548761258440725,0.15337423312883436,0.03067484662576687,0.0,0.03067484662576687,0.03067484662576687,0.9386503067484663,15.0,25.0,,-0.00020174970805852954,0.002854091640147098
07_range_position,pos12_Q4,thinned144,1h,163,-0.0005387158173314238,-0.00011728185329473728,0.0027346761104285466,0.0025939691239269536,0.006060536153900923,0.2331288343558282,0.04294478527607362,0.006134969325153374,0.04294478527607362,0.06134969325153374,0.8957055214723927,25.0,25.0,55.0,-0.00019822604638564112,-0.023274471086233803
07_range_position,pos12_Q4,thinned144,2h,163,-0.0009897169446810741,-0.0007070435910186967,0.003799296981766842,0.004554481932663057,0.009895387428280916,0.38650306748466257,0.1165644171779141,0.018404907975460124,0.1165644171779141,0.15337423312883436,0.7300613496932515,55.0,85.0,90.0,-0.0009231867570392849,-0.01741764006801555
07_range_position,pos12_Q4,thinned144,4h,163,-0.0009177339324418197,-0.000389907352204677,0.0065677066822138475,0.006124064869395096,0.015475763923259464,0.5766871165644172,0.26380368098159507,0.0736196319018405,0.2331288343558282,0.32515337423312884,0.44171779141104295,80.0,125.0,145.0,-0.0007409996851590606,-0.00718794166946829
07_range_position,pos12_Q4,thinned144,12h,162,0.0009779725154583075,0.0008185057683223196,0.01043422321098364,0.010758666092683833,0.025750516479356847,0.7407407407407407,0.5185185185185185,0.25925925925925924,0.3950617283950617,0.4382716049382716,0.16666666666666666,110.0,242.5,372.5,-0.00013641782599016494,-0.029098324829288424
07_range_position,pos24_Q1,full,15m,26340,6.958106965955328e-05,0.00018664447868121936,0.0013146087072485324,0.0012206141867658338,0.0031036109876943583,0.0714123006833713,0.011199696279422931,0.0012528473804100228,0.01082004555808656,0.02406985573272589,0.9651100987091875,10.0,10.0,10.0,0.00016508691566829992,0.0009867185525054816
07_range_position,pos24_Q1,full,30m,26338,0.0001263221293995028,0.0002789536372219681,0.0019279874527273755,0.0017892723135331523,0.004459056732914154,0.1457969473764143,0.029235325385374742,0.0029615004935834156,0.028096286733996508,0.0525856177386286,0.9193180955273749,20.0,20.0,20.0,0.00024346409176512207,0.0002755317483767346
07_range_position,pos24_Q1,full,1h,26337,0.00022686604843684695,0.00045765814631493207,0.002742789744865526,0.002588016351930844,0.006362345524903258,0.254698712837453,0.06876257736264571,0.00877093062991229,0.06595284200934047,0.09959372745567073,0.8344534305349888,30.0,35.0,40.0,0.00037671395322402823,-0.0002664143529669538
07_range_position,pos24_Q1,full,2h,26334,0.000343813167996425,0.0005733662998405054,0.0038697751382562595,0.0036470582512330707,0.008951503016353533,0.3924963924963925,0.1394395078605605,0.026239842029315712,0.13005999848105113,0.16643882433356116,0.7035011771853877,45.0,65.0,75.0,0.0003572231338199172,-0.003922058764878528
07_range_position,pos24_Q1,full,4h,26325,0.0006488393052657374,0.0007993515159721021,0.00551432233449578,0.005208950613086238,0.012942285501082252,0.5383475783475783,0.25952516619183286,0.07103513770180436,0.23582146248812916,0.25511870845204176,0.509059829059829,65.0,115.0,150.0,0.0004482591830177185,-0.004495313537167339
07_range_position,pos24_Q1,full,12h,26304,0.0012647391705233875,0.001275965142488622,0.01010246358229161,0.009478303506350372,0.023813196367017855,0.7359717153284672,0.5040298053527981,0.2254029805352798,0.4173509732360097,0.40400699513381993,0.1786420316301703,110.0,235.0,360.0,0.0003210415481761375,-0.006809079988340405
07_range_position,pos24_Q1,thinned144,15m,158,0.0004798876414423383,0.00041932270420541595,0.0015844631682039312,0.0011550238518103217,0.0031023304715169565,0.0759493670886076,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.012658227848101266,0.9810126582278481,10.0,10.0,15.0,0.0003977651411924965,-0.0035042130815304455
07_range_position,pos24_Q1,thinned144,30m,158,0.0006651124821080652,0.00017924011809578033,0.0020563505584130226,0.0017688359060001324,0.004648468530141513,0.17721518987341772,0.04430379746835443,0.0189873417721519,0.04430379746835443,0.02531645569620253,0.930379746835443,20.0,25.0,30.0,0.00014375057263893432,0.016483042482734658
07_range_position,pos24_Q1,thinned144,1h,158,0.0008492630000922387,0.00025421684245796605,0.0028204741908721687,0.002805767910784185,0.0062907652768639235,0.25316455696202533,0.056962025316455694,0.02531645569620253,0.056962025316455694,0.056962025316455694,0.8860759493670886,27.5,30.0,30.0,0.00017327264936706221,-0.00925723104585173
