investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
02_day_of_week,Monday,thinned144,4h,105,0.0016128168731530965,0.0011815538046897611,0.007840574975498171,0.007750973274287198,0.018629786701354917,0.7142857142857143,0.38095238095238093,0.1619047619047619,0.3238095238095238,0.3523809523809524,0.3238095238095238,75.0,130.0,185.0,0.0008304614717353775,0.08349274778422733
02_day_of_week,Monday,thinned144,12h,105,0.004715628461030962,0.002493842834736748,0.016145547775032076,0.011311081822009905,0.029831010504593355,0.8095238095238095,0.638095238095238,0.4,0.4857142857142857,0.47619047619047616,0.0380952380952381,80.0,195.0,325.0,0.0015389192404242635,0.06155423248993558
02_day_of_week,Tuesday,full,15m,15261,-3.999904898525729e-05,0.0,0.0014034587783831043,0.001446296804237024,0.0033703242652416013,0.07987681016971365,0.01041871436996265,0.0009173710766004849,0.010353187864491187,0.01880610707030994,0.9708407050651989,10.0,15.0,15.0,-2.1557563012919445e-05,0.0005198608589101084
02_day_of_week,Tuesday,full,30m,15258,-8.484125932365513e-05,3.1748489071392605e-05,0.0020463897097348083,0.0021147029048796395,0.0048420633965545554,0.15952287324682135,0.032114300694717525,0.003014811901953074,0.031655524970507276,0.050596408441473326,0.9177480665880194,15.0,20.0,22.5,-3.741056385453412e-06,0.003834769984887503
02_day_of_week,Tuesday,full,1h,15252,-0.00017254897924691342,-1.6813850841290723e-05,0.002922621747248999,0.0030663303493005944,0.007080961753020275,0.276488329399423,0.07776029373196958,0.012063991607658012,0.07585890375032782,0.10942827170207185,0.8147128245476003,30.0,40.0,45.0,-9.775804393219456e-05,0.009639647388020395
02_day_of_week,Tuesday,full,2h,15240,-0.00037465526929015067,-8.510561921082349e-06,0.004194723948109602,0.00461994931810783,0.01016563249447704,0.42276902887139106,0.16128608923884513,0.030905511811023623,0.1538713910761155,0.19986876640419948,0.646259842519685,45.0,65.0,70.0,-0.0002246537279416705,0.019889333830185846
02_day_of_week,Tuesday,full,4h,15216,-0.0006485784518788216,-0.0001395910832327485,0.006062614270146316,0.007030532953380686,0.01519913599791712,0.5745268138801262,0.2870005257623554,0.07689274447949526,0.2640641430073607,0.3218322818086225,0.4141035751840168,65.0,110.0,145.0,-0.0004906834161871321,0.0237473669820642
02_day_of_week,Tuesday,full,12h,15120,-0.0007549812060358335,-0.00022147945826711535,0.011037064296460009,0.012764999732837012,0.02779361679832344,0.7619708994708995,0.5453703703703704,0.24252645502645503,0.43227513227513226,0.4924603174603175,0.07526455026455027,100.0,225.0,355.0,-0.0011764030525795999,0.008115079050782126
02_day_of_week,Tuesday,thinned144,15m,106,0.00029121854370457067,-3.799547724642194e-05,0.0014497926768799463,0.0013817357945446473,0.003354540497030813,0.09433962264150944,0.018867924528301886,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.9716981132075472,12.5,12.5,15.0,-5.955304025934138e-05,0.009034597522720808
02_day_of_week,Tuesday,thinned144,30m,106,0.0005839952091884639,0.00010534919406390841,0.0022805155774264785,0.0021452017009140345,0.0053420894831845405,0.20754716981132076,0.04716981132075472,0.018867924528301886,0.04716981132075472,0.03773584905660377,0.9150943396226415,20.0,25.0,22.5,6.98596486070624e-05,0.019349056335134947
02_day_of_week,Tuesday,thinned144,1h,106,0.0006309736950433573,-0.0005564653625419469,0.0032886796787469086,0.0030517621163556052,0.006943134077858685,0.32075471698113206,0.09433962264150944,0.02830188679245283,0.08490566037735849,0.10377358490566038,0.8113207547169812,25.0,32.5,30.0,-0.0006374095556328507,0.01868640401505106
02_day_of_week,Tuesday,thinned144,2h,106,2.0818340614892702e-05,-0.0008269229694631286,0.005518992036306347,0.0054892471074409754,0.012400019900039194,0.5283018867924528,0.16981132075471697,0.05660377358490566,0.16037735849056603,0.24528301886792453,0.5943396226415094,52.5,60.0,80.0,-0.0010430661354837167,0.026395301244636377
02_day_of_week,Tuesday,thinned144,4h,106,-7.532904788767211e-05,-0.00136307168905353,0.008001043919239614,0.010276379592941975,0.019719971794372702,0.7075471698113207,0.39622641509433965,0.1320754716981132,0.330188679245283,0.4811320754716981,0.18867924528301888,70.0,127.5,137.5,-0.0017141640220079135,0.0898719032199865
02_day_of_week,Tuesday,thinned144,12h,105,-0.0019149585081574088,-0.0009304794967264218,0.011288083307896546,0.013210531267960457,0.02817323932939208,0.8,0.5333333333333333,0.2571428571428571,0.3904761904761905,0.5428571428571428,0.06666666666666667,90.0,152.5,240.0,-0.0018854030910389064,-0.033683862748159654
02_day_of_week,Wednesday,full,15m,14976,5.999979615100505e-05,6.275358006280207e-05,0.0013853033905655288,0.0014129970758044452,0.00327477076822007,0.08400106837606838,0.015357905982905982,0.0009348290598290599,0.01515758547008547,0.017561431623931624,0.9672809829059829,10.0,15.0,10.0,4.119601704988263e-05,0.005324258464504392
02_day_of_week,Wednesday,full,30m,14976,0.00011950862621377903,6.332855309154617e-05,0.0020163291607671052,0.0020261756585253643,0.004749024831666011,0.1672008547008547,0.03973023504273504,0.005275106837606838,0.038995726495726496,0.0405982905982906,0.9204059829059829,15.0,20.0,25.0,2.7839007634700152e-05,0.011174971510106723
02_day_of_week,Wednesday,full,1h,14976,0.00023596412997740042,9.241708629026402e-05,0.00295837052944925,0.002959048016093646,0.0068852950359690746,0.289196047008547,0.09087873931623931,0.019564636752136752,0.08847489316239317,0.08940972222222222,0.8221153846153846,30.0,35.0,40.0,1.1472893199360179e-05,0.022255636800085743
02_day_of_week,Wednesday,full,2h,14976,0.0004438586206856351,0.000238230733273892,0.00424746610946336,0.004395271583321814,0.010126624370481948,0.4358974358974359,0.17674946581196582,0.050681089743589744,0.16933760683760685,0.16960470085470086,0.6610576923076923,45.0,60.0,75.0,2.2087567253303853e-05,0.03535554959167719
02_day_of_week,Wednesday,full,4h,14976,0.0008157187255246408,0.00023998395737689915,0.006102914917649582,0.006302127657982548,0.014433720129065486,0.5770566239316239,0.30528846153846156,0.11271367521367522,0.2825854700854701,0.28518963675213677,0.43222489316239315,60.0,105.0,135.0,-0.00011110837557748443,0.042268694060173584
