period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
2024-01,29,9,20,0.3103448275862069,-0.1643150467181536,1.1022934734157344,0.5511466956290565,-1.8177552157629446,-1.8177552157629446,18.182244784237053,18.18224478423706,18.182244784237053,2.71434506745258,0.13327368174021936
2024-02,24,13,11,0.5416666666666666,3.020853434084365,0.9137185013833566,0.4568600059049914,1.6502749267960173,-0.16748028896692735,19.832519711033076,19.832519711033072,19.832519711033076,0.832479135113033,0.04481988908991946
2024-03,44,13,31,0.29545454545454547,-0.5878764298624937,1.609445831067439,0.8047227685645181,-3.0020450294944507,-3.1695253184613783,-2.2737367544323206e-13,16.83047468153863,17.100339974056354,3.48219090075499,0.17355821204385377
2024-04,31,8,23,0.25806451612903225,-0.9029415329174378,0.9632630384677342,0.48163129349843437,-2.3478358648836064,-5.517361183344985,-2.824407374646398e-13,14.482638816655022,14.432741712007855,2.8890912550631267,0.1690598468058899
2024-05,31,11,20,0.3548387096774194,0.4719632926013228,0.8831075247797121,0.44155388038063365,-0.852698112559023,-6.370059295904007,13.629940704095999,13.629940704096002,13.629940704095999,1.20092914619595,0.08097496359408139
2024-06,17,5,12,0.29411764705882354,-0.1678897478305923,0.45219187571022607,0.22609589588264628,-0.8461775194234646,-7.216236815327472,12.783763184672528,12.783763184672537,12.783763184672528,1.5140062364897506,0.10804301630275631
2024-07,31,9,22,0.2903225806451613,-0.3235106664141602,0.7509773693032612,0.3754886037739246,-1.449976639491346,-8.666213454818818,11.333786545181175,11.333786545181193,11.333786545181175,1.569260547517084,0.1216193768993618
2024-08,24,4,20,0.16666666666666666,-1.1458391059199835,0.49212732275493715,0.24606337491766453,-1.884029803592585,-10.550243258411403,9.449756741588596,9.449756741588606,9.449756741588596,1.9423822457691138,0.1705019792968335
2024-09,29,8,21,0.27586206896551724,-0.3290217802149309,0.5216791687989486,0.26083950214400153,-1.111540451157881,-11.661783709569283,8.338216290430712,8.338216290430726,8.338216290430712,1.3106295027541215,0.13583277532322513
2024-10,28,9,19,0.32142857142857145,-0.00438911170427661,0.43847732341239287,0.21923866060889427,-0.6621050957255636,-12.323888805294846,7.6761111947051415,7.676111194705163,7.6761111947051415,0.9459612004572762,0.11294427334046674
2024-11,31,13,18,0.41935483870967744,0.7006633173127613,0.4720998280143408,0.23605008917297204,-0.007486599874551414,-12.331375405169398,-5.080380560684716e-13,7.66862459483061,7.617076826566687,0.4922103124858346,0.06326307577121511
2024-12,35,8,27,0.22857142857142856,-0.6626794634792249,0.4867892194059065,0.24339444403305924,-1.3928631269181908,-13.72423853208759,6.275761467912397,6.27576146791242,6.275761467912397,1.492303877261719,0.19537952746864026
