timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,1,CLOSED,BTCUSDT,LONG,2024-01-01 18:40:00+00:00,2024-01-01 18:45:00+00:00,43152.12,43173.69606,2024-01-01 23:30:00+00:00,44037.1699812,44015.1513962094,0.00046278224482455816,19.980019980019982,0.19980019980019983,42741.9590994,44037.1699812,TP,0.40958541708166807,0.019980019980019983,0.020369430569430573,0.009985017481269086,0.01018981018980901,0.020174827671078095,0.34906113886113943,1.7470510000000026,0 days 04:45:00
5m,DEVELOPMENT,2,CLOSED,BTCUSDT,LONG,2024-01-01 23:30:00+00:00,2024-01-01 23:35:00+00:00,44012.95,44034.95647499999,2024-01-02 00:55:00+00:00,44915.65560449999,44893.19777669774,0.00046164988077133543,20.32873240645469,0.20328732406454691,43594.60691024999,44915.65560449999,TP,0.41673393468903747,0.02032873240645469,0.020724939401056495,0.010159286559944919,0.010367653527289793,0.020526940087234713,0.3551533227942915,1.7470510000000037,0 days 01:20:00
5m,DEVELOPMENT,3,CLOSED,BTCUSDT,LONG,2024-01-02 00:55:00+00:00,2024-01-02 01:00:00+00:00,45056.0,45078.528,2024-01-02 21:00:00+00:00,44627.742719999995,44605.42884864,0.0004588333259401176,20.683530930724714,0.20683530930724714,44627.742719999995,45980.09856,SL,-0.1964987121404706,0.020683530930724715,0.02046645727360676,0.010336597166778247,0.010238347810707956,0.0205749449774862,-0.2582236453222883,-1.2484505000000046,0 days 20:00:00
5m,DEVELOPMENT,4,CLOSED,BTCUSDT,LONG,2024-01-03 16:50:00+00:00,2024-01-03 16:55:00+00:00,43035.97,43057.487985,2024-01-03 17:15:00+00:00,42626.91310515,42605.599648597425,0.0004743789340009282,20.425565251082073,0.20425565251082073,42626.91310515,43918.6377447,SL,-0.19404797372467297,0.020425565251082075,0.02021119894377197,0.010207678786147294,0.010110654799286148,0.020318333585433442,-0.2550030715049605,-1.2484505000000004,0 days 00:20:00
5m,DEVELOPMENT,5,CLOSED,BTCUSDT,LONG,2024-01-04 11:00:00+00:00,2024-01-04 11:05:00+00:00,43110.02,43131.57500999999,2024-01-04 15:15:00+00:00,43994.20651019999,43972.209406944894,0.0004676577872063267,20.170816927900297,0.20170816927900298,42700.25925989999,43994.20651019999,TP,0.4134967068378133,0.0201708169279003,0.020563946149825076,0.010080368279808561,0.010287116633227558,0.020367484913036117,0.35239445884705184,1.747051000000002,0 days 04:10:00
5m,DEVELOPMENT,6,CLOSED,BTCUSDT,LONG,2024-01-04 15:15:00+00:00,2024-01-04 15:20:00+00:00,43888.62,43910.56431,2024-01-05 01:45:00+00:00,43471.4586669,43449.72293756655,0.00046737862896599426,20.52285934433092,0.2052285934433092,43471.4586669,44788.7755962,SL,-0.19497229192190652,0.020522859344330922,0.020307471935512165,0.010256301521404266,0.010158815375443737,0.020415116896848003,-0.2562177400985976,-1.2484505000000072,0 days 10:25:00
5m,DEVELOPMENT,7,CLOSED,BTCUSDT,LONG,2024-01-05 09:30:00+00:00,2024-01-05 09:35:00+00:00,44087.0,44109.0435,2024-01-05 10:55:00+00:00,43667.953065,43646.1190884675,0.0004594726150888002,20.266897566010645,0.20266897566010644,43667.953065,44991.22437,SL,-0.19254059106939578,0.020266897566010644,0.020054196476055365,0.01012838459070986,0.010032114295175244,0.020160498885885104,-0.2530221839973469,-1.248450499999996,0 days 01:20:00
5m,DEVELOPMENT,8,CLOSED,BTCUSDT,LONG,2024-01-05 11:05:00+00:00,2024-01-05 11:10:00+00:00,43805.96,43827.86298,2024-01-05 14:40:00+00:00,43389.5843502,43367.8895580249,0.000456653069317136,20.01412815142788,0.2001412815142788,43389.5843502,44704.4202396,SL,-0.19013921847008708,0.02001412815142788,0.019804079876478645,0.010002063044191357,0.009906993434955874,0.01990905647914723,-0.24986648297714084,-1.2484504999999937,0 days 03:30:00
5m,DEVELOPMENT,9,CLOSED,BTCUSDT,LONG,2024-01-05 21:15:00+00:00,2024-01-05 21:20:00+00:00,43791.79,43813.685894999995,2024-01-08 02:45:00+00:00,43375.54903605,43353.86126153197,0.00045110359654932324,19.764511285316853,0.19764511285316855,43375.54903605,44689.9596129,SL,-0.1877677958690039,0.019764511285316855,0.019557082739377455,0.009877316984163727,0.009783433086231629,0.019660750070395354,-0.2467501399640936,-1.2484504999999944,2 days 05:25:00
5m,DEVELOPMENT,10,CLOSED,BTCUSDT,LONG,2024-01-08 06:25:00+00:00,2024-01-08 06:30:00+00:00,44146.8,44168.873400000004,2024-01-08 09:50:00+00:00,43727.184666,43705.321073667,0.00044189507557122987,19.518007648989087,0.19518007648989089,43727.184666,45052.250868,SL,-0.1854259497287777,0.01951800764898909,0.019313166158712945,0.009754126761114484,0.009661413786249715,0.019415540547364198,-0.24367266408384394,-1.2484505000000072,0 days 03:20:00
5m,DEVELOPMENT,11,CLOSED,BTCUSDT,LONG,2024-01-08 10:55:00+00:00,2024-01-08 11:00:00+00:00,44088.86,44110.904429999995,2024-01-08 12:00:00+00:00,44993.122518599994,44970.62595734069,0.00043695722550253084,19.274578414140095,0.19274578414140095,43669.795385699996,44993.122518599994,TP,0.39512404125338374,0.019274578414140094,0.019650239947431685,0.009632472970582336,0.009830034991211671,0.01946250796179401,0.3367367149300179,1.747050999999996,0 days 01:00:00
5m,DEVELOPMENT,12,CLOSED,BTCUSDT,LONG,2024-01-08 12:00:00+00:00,2024-01-08 12:05:00+00:00,44959.34,44981.81967,2024-01-08 12:25:00+00:00,44532.0014733,44509.73547256335,0.00043597566467135996,19.6109787287555,0.19610978728755502,44532.0014733,45881.4560634,SL,-0.18630919821771116,0.0196109787287555,0.019405161506997216,0.009800589069843102,0.00970743447073411,0.019508023540577214,-0.2448333619940411,-1.248450499999997,0 days 00:20:00
5m,DEVELOPMENT,13,CLOSED,BTCUSDT,LONG,2024-01-08 12:35:00+00:00,2024-01-08 12:40:00+00:00,44781.99,44804.38099499999,2024-01-08 18:00:00+00:00,45700.46861489999,45677.61838059254,0.0004322432209853742,19.366389955534682,0.19366389955534682,44356.33718504999,45700.46861489999,TP,0.39700615491055763,0.019366389955534684,0.019743840895768052,0.009678355799864941,0.009876858877322946,0.019555214677187887,0.33834070938206706,1.747050999999994,0 days 05:20:00
5m,DEVELOPMENT,14,CLOSED,BTCUSDT,LONG,2024-01-08 18:00:00+00:00,2024-01-08 18:05:00+00:00,45962.2,45985.181099999994,2024-01-08 18:40:00+00:00,46904.884721999995,46881.432279639,0.0004284944016934638,19.704392662210076,0.19704392662210077,45525.329288999994,46904.884721999995,TP,0.4039351259389584,0.019704392662210076,0.020088431275196553,0.009847272694756479,0.01004924025772639,0.01989651295248287,0.34424578904906894,1.747051000000006,0 days 00:35:00
5m,DEVELOPMENT,15,CLOSED,BTCUSDT,LONG,2024-01-08 18:40:00+00:00,2024-01-08 18:45:00+00:00,46917.78,46941.23888999999,2024-01-09 00:35:00+00:00,46471.82650109999,46448.590587849445,0.0004270934262376897,20.048294549371985,0.20048294549371984,46471.82650109999,47880.063667799994,SL,-0.19046380778789082,0.020048294549371987,0.019837887698076328,0.010019137705830695,0.009923905801936741,0.019943043507767436,-0.25029303354310656,-1.2484504999999964,0 days 05:50:00
5m,DEVELOPMENT,16,CLOSED,BTCUSDT,LONG,2024-01-09 13:50:00+00:00,2024-01-09 13:55:00+00:00,46904.12,46927.57206,2024-01-09 15:00:00+00:00,46458.296339399996,46435.0671912303,0.00042188953507984724,19.798251558819427,0.19798251558819427,46458.296339399996,47866.123501199996,SL,-0.1880883368981323,0.019798251558819428,0.01959046890870962,0.009894178690062986,0.0098001345216138,0.019694313211676785,-0.24717137057733812,-1.248450499999996,0 days 01:05:00
5m,DEVELOPMENT,17,CLOSED,BTCUSDT,LONG,2024-01-09 15:40:00+00:00,2024-01-09 15:45:00+00:00,46955.78,46979.25788999999,2024-01-09 18:30:00+00:00,46509.46531109999,46486.21057844444,0.0004161693477250505,19.55132711268823,0.19551327112688233,46509.46531109999,47918.843047799994,SL,-0.18574249295962408,0.01955132711268823,0.019346135934640567,0.009770778167258264,0.00967790692078087,0.019448685088039132,-0.24408864109499204,-1.2484505000000012,0 days 02:45:00
5m,DEVELOPMENT,18,CLOSED,BTCUSDT,LONG,2024-01-10 16:25:00+00:00,2024-01-10 16:30:00+00:00,45517.99,45540.748994999994,2024-01-10 18:00:00+00:00,46451.5639749,46428.338192912546,0.00042396057909608264,19.307482316389542,0.19307482316389543,45085.34150505,46451.5639749,TP,0.3957985630276351,0.019307482316389544,0.019683785146735976,0.009648916699843366,0.009846815981358802,0.019495732681202166,0.33731156288330744,1.747051000000004,0 days 01:30:00
5m,DEVELOPMENT,19,CLOSED,BTCUSDT,LONG,2024-01-10 18:00:00+00:00,2024-01-10 18:05:00+00:00,46591.57,46614.865784999995,2024-01-10 18:05:00+00:00,46148.71712715,46125.642768586426,0.0004214204325995478,19.644456904684557,0.19644456904684557,46148.71712715,47547.163100699996,SL,-0.18662724925440052,0.019644456904684558,0.019438288329469894,0.009817319792443862,0.009724006167817541,0.019541325960261403,-0.24525132044881637,-1.2484504999999873,0 days 00:00:00
