timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,65,21,44,0.3230769230769231,0.24759820364000412,2.4597858586261285,1.2298929912124847,-3.442080646198609,-3.442080646198609,16.557919353801363,16.557919353801402,16.557919353801363,5.26716057775263,0.24478143182719503
5m,DEVELOPMENT,2024-02,74,32,42,0.43243243243243246,4.238555016019458,2.5285813334070597,1.2642917263421556,0.4456819562702422,-2.996398689928367,17.0036013100716,17.003601310071634,17.0036013100716,1.9588930769879198,0.11016615625029506
5m,DEVELOPMENT,2024-03,97,30,67,0.30927835051546393,-0.431672829237617,2.831371454373869,1.4156856192685872,-4.678729902880073,-7.67512859280844,-4.618527782440651e-13,12.324871407191557,12.325083470010481,5.784929292176823,0.3268379277123637
5m,DEVELOPMENT,2024-04,63,16,47,0.25396825396825395,-1.3190836113480802,1.3290082613102379,0.6645038008841411,-3.312595673542459,-10.987724266350899,-5.204725539442734e-13,9.0122757336491,8.981225697044268,3.37368252300784,0.273903951882756
5m,DEVELOPMENT,2024-05,62,22,40,0.3548387096774194,0.5522098111513783,1.054803040958335,0.5274016585315645,-1.0299948883385215,-12.01771915468942,-5.844214001626824e-13,7.982280845310578,7.933408832089831,1.2262538696655767,0.13439387048015494
5m,DEVELOPMENT,2024-06,25,6,19,0.24,-0.4449133399450342,0.37375792240389316,0.18687884997359158,-1.005550112322519,-13.023269267011939,-6.039613253960852e-13,6.9767307329880595,7.057870930361924,1.3891746503387559,0.16888625109068311
5m,DEVELOPMENT,2024-07,58,23,35,0.39655172413793105,0.9343993289184428,0.8111511813808094,0.4055758242901968,-0.2823276767525634,-13.305596943764503,6.6944030562354415,6.694403056235499,6.6944030562354415,0.8334740036579165,0.11071833360542736
5m,DEVELOPMENT,2024-08,81,24,57,0.2962962962962963,-0.31768040774163386,0.9453090401771943,0.47265444066844126,-1.7356438885872696,-15.041240832351772,-6.918909889463976e-13,4.958759167648225,4.961424339269426,1.8411064449825734,0.2712338567376777
5m,VALIDATION,2024-09,49,17,32,0.3469387755102041,0.7219416474739094,1.8399416350686857,0.9199709980196528,-2.0379709856144292,-2.0379709856144292,17.962029014385564,17.96202901438558,17.962029014385564,2.106519456233574,0.10512334347692302
5m,VALIDATION,2024-10,45,15,30,0.3333333333333333,0.2780179558824799,1.5072756783604864,0.7536379086846505,-1.9828956311626569,-4.020866616777086,-1.900701818158268e-13,15.979133383222926,15.908917977951393,2.3297438741956977,0.12889561177831269
5m,VALIDATION,2024-11,84,32,52,0.38095238095238093,2.5026245442356974,2.671975021214821,1.335988136263381,-1.5053386132425042,-5.52620523001959,-3.588240815588506e-13,14.473794769980412,14.376503292287628,3.583259283527683,0.20403597511878047
5m,VALIDATION,2024-12,55,14,41,0.2545454545454545,-1.3167536350825222,1.4225336927026668,0.7112665171628537,-3.450553844948043,-8.976759074967633,11.023240925032349,11.023240925032367,11.023240925032349,3.5528299428995407,0.24483355624130948
15m,DEVELOPMENT,2024-01,62,19,43,0.3064516129032258,-0.3566780168274375,2.2977217147484743,1.1488607682046084,-3.8032604997805204,-3.8032604997805204,16.196739500219493,16.196739500219472,16.196739500219493,5.0084666378016,0.23619042442701757
15m,DEVELOPMENT,2024-02,57,24,33,0.42105263157894735,2.8655834780939746,1.8985605031139772,0.9492809679527534,0.017742007027244017,-3.7855184927532766,16.21448150724673,16.214481507246703,16.21448150724673,2.4634729132440167,0.13901663540693082
15m,DEVELOPMENT,2024-03,80,28,52,0.35,0.9981226960973651,2.338493302056643,1.169246900558878,-2.509617506518156,-6.295135999271432,-3.339550858072471e-13,13.704864000728547,13.91684622104227,3.135582892374904,0.1924501895529612
15m,DEVELOPMENT,2024-04,43,11,32,0.2558139534883721,-0.9910116403911724,1.0794643838459417,0.5397319441699934,-2.6102079684071073,-8.90534396767854,11.094656032321476,11.09465603232144,11.094656032321476,2.7974948213460102,0.2013742117830888
15m,DEVELOPMENT,2024-05,48,18,30,0.375,0.9242111236532008,1.0820941201305407,0.5410472911179903,-0.6989302875953302,-9.60427425527387,10.395725744726143,10.39572574472611,10.395725744726143,1.4578216229055734,0.1229861051457408
15m,DEVELOPMENT,2024-06,23,7,16,0.30434782608695654,-0.09643074048262806,0.46656938999943415,0.23328467089200605,-0.7962848013740682,-10.400559056647937,-4.867217739956686e-13,9.599440943352043,9.66233010024989,1.4251833932691333,0.1318024225850207
15m,DEVELOPMENT,2024-07,52,19,33,0.36538461538461536,0.6401272868044864,0.9506972197190107,0.47534876989127023,-0.7859187028057943,-11.186477759453732,8.813522240546282,8.81352224054625,8.813522240546282,1.1421108382455696,0.11693591836443121
15m,DEVELOPMENT,2024-08,54,16,38,0.2962962962962963,-0.31295171941949973,0.8568188062821825,0.4284093249031123,-1.5981798506047946,-12.784657610058527,7.215342389941498,7.215342389941458,7.215342389941498,1.598179850604784,0.18133270751305497
15m,VALIDATION,2024-09,39,13,26,0.3333333333333333,0.28330231711888076,1.4743338510461101,0.737166996348538,-1.9281985302757674,-1.9281985302757674,18.071801469724218,18.071801469724235,18.071801469724218,2.2380785420262477,0.11137341666240931
15m,VALIDATION,2024-10,40,16,24,0.4,1.682127541432972,1.411488275463011,0.7057445582633082,-0.43510529229334727,-2.3633038225691148,17.636696177430863,17.636696177430892,17.636696177430863,1.1521756698657981,0.06362595648947865
15m,VALIDATION,2024-11,81,27,54,0.3333333333333333,0.6811062217663838,2.686493518242336,1.3432469293975784,-3.3486342258735307,-5.711938048442645,-3.090860900556436e-13,14.28806195155736,14.184500427934159,4.469005711866249,0.23974442804848464
15m,VALIDATION,2024-12,56,15,41,0.26785714285714285,-1.113209853399912,1.4020967371954451,0.7010480902951775,-3.216354680890534,-8.92829272933318,-3.9968028886505635e-13,11.071707270666831,10.99111463828269,3.4741840158866637,0.24401855933404862
1h,DEVELOPMENT,2024-01,33,9,24,0.2727272727272727,-0.8956848880959638,1.2082131801850402,0.6041063661712298,-2.708004434452234,-2.708004434452234,17.291995565547737,17.291995565547765,17.291995565547737,3.1619959452561304,0.1580997972628065
1h,DEVELOPMENT,2024-02,45,20,25,0.4444444444444444,2.9863625391629838,1.6126117733344298,0.8063066332577596,0.5674441325707941,-2.14056030188144,17.859439698118546,17.85943969811857,17.859439698118546,1.5911782877384049,0.08410470804340409
1h,DEVELOPMENT,2024-03,49,17,32,0.3469387755102041,0.6911966458386535,1.6740316461629412,0.8370159958805461,-1.819850996204834,-3.960411298086274,-2.6645352591003757e-13,16.03958870191373,16.267011360381606,2.613843388097827,0.1414828047745556
1h,DEVELOPMENT,2024-04,23,6,17,0.2608695652173913,-0.5938221439031542,0.7135901606628925,0.35679493187587513,-1.664207236441922,-5.624618534528196,14.375381465471802,14.37538146547181,14.375381465471802,2.0722294947635174,0.12598969538940685
1h,DEVELOPMENT,2024-05,40,14,26,0.35,0.5372380507342719,1.1309744945298037,0.5654873815743496,-1.1592238253698812,-6.7838423598980775,13.216157640101926,13.216157640101926,13.216157640101926,2.165474620797461,0.1423399446406913
1h,DEVELOPMENT,2024-06,14,4,10,0.2857142857142857,-0.17534976609373584,0.3653964362237103,0.1826981742743905,-0.7234443765918366,-7.507286736489914,12.492713263510089,12.49271326351009,12.492713263510089,1.5129765998883293,0.11006125338348424
1h,DEVELOPMENT,2024-07,37,10,27,0.2702702702702703,-0.6452064960972885,0.8425872908129289,0.4212934841047939,-1.9090872710150115,-9.416374007504926,10.583625992495078,10.583625992495072,10.583625992495078,2.0421384934975997,0.1617437499141693
1h,DEVELOPMENT,2024-08,24,6,18,0.25,-0.4998539997331708,0.4777112169389285,0.23885548350593386,-1.2164207001780332,-10.632794707682958,9.367205292317042,9.367205292317037,9.367205292317042,1.3174878431986219,0.12330610027716415
1h,VALIDATION,2024-09,29,12,17,0.41379310344827586,1.6245819358511737,1.159207083384483,0.5796039478376539,-0.11422909537096318,-0.11422909537096318,19.88577090462904,19.885770904629034,19.88577090462904,1.2949735318122855,0.062339050973192964
1h,VALIDATION,2024-10,28,12,16,0.42857142857142855,1.844953593109991,1.1392106098493957,0.5696057661630233,0.13613721709757162,0.021908121726608443,20.021908121726604,20.02190812172661,20.021908121726604,1.2855617930312704,0.06162322453618935
1h,VALIDATION,2024-11,62,23,39,0.3709677419354839,1.9239840299691058,2.4499093596397303,1.2249551608157445,-1.750880490486369,-1.7289723687597607,-2.2382096176443156e-13,18.271027631240244,18.233315369908215,3.5956334269083072,0.16621381600227217
1h,VALIDATION,2024-12,31,10,21,0.3225806451612903,0.03533667563913684,1.0778855031082684,0.5389427603882342,-1.5814915878573659,-3.3104639566171263,-2.877698079828406e-13,16.68953604338288,16.55996402215098,2.010890850119054,0.10853386030459518
