timeframe,period_role,metric,value
15m,DEVELOPMENT,sum_of_winning_net_pnl,32.489589065667296
15m,DEVELOPMENT,months_with_closed_trades,8
15m,DEVELOPMENT,max_month_share_of_net,
15m,DEVELOPMENT,open_entry_fees,0.0
15m,DEVELOPMENT,unresolved_reserved,0.0
1h,DEVELOPMENT,starting_capital,20.0
1h,DEVELOPMENT,ending_cash,9.367205292317466
1h,DEVELOPMENT,ending_realized_equity,9.367205292317037
1h,DEVELOPMENT,ending_mtm_equity,9.367205292317042
1h,DEVELOPMENT,total_net_pnl,-10.632794707682958
1h,DEVELOPMENT,total_gross_pnl,1.4048799418125957
1h,DEVELOPMENT,total_fees,8.025116198850675
1h,DEVELOPMENT,total_slippage,4.012558450644879
1h,DEVELOPMENT,signals,768
1h,DEVELOPMENT,filled_trades,265
1h,DEVELOPMENT,closed_trades,265
1h,DEVELOPMENT,open_end_of_data,0
1h,DEVELOPMENT,ignored_signals,503
1h,DEVELOPMENT,ignored_position_open,503
1h,DEVELOPMENT,ignored_no_next_candle,0
1h,DEVELOPMENT,ignored_insufficient_cash,0
1h,DEVELOPMENT,tp_count,86
1h,DEVELOPMENT,sl_count,179
1h,DEVELOPMENT,win_count,86
1h,DEVELOPMENT,loss_count,179
1h,DEVELOPMENT,scratch_count,0
1h,DEVELOPMENT,win_rate,0.32452830188679244
1h,DEVELOPMENT,loss_rate,0.6754716981132075
1h,DEVELOPMENT,average_winning_trade,0.26772927720114714
1h,DEVELOPMENT,average_losing_trade,-0.1880307963518526
1h,DEVELOPMENT,median_winning_trade,0.2827865552892681
1h,DEVELOPMENT,median_losing_trade,-0.196016698498444
1h,DEVELOPMENT,profit_factor,0.6840885168551619
1h,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.04012375361389796
1h,DEVELOPMENT,average_R_per_closed_trade,-0.27632548490565517
1h,DEVELOPMENT,expectancy_per_trade,-0.04012375361389796
1h,DEVELOPMENT,expectancy_R,-0.27632548490565517
1h,DEVELOPMENT,median_R,-1.248450499999991
1h,DEVELOPMENT,total_R,-73.2262534999986
1h,DEVELOPMENT,average_holding_time,0 days 08:30:47.547169811
1h,DEVELOPMENT,median_holding_time,0 days 04:00:00
1h,DEVELOPMENT,max_holding_time,3 days 08:00:00
1h,DEVELOPMENT,average_holding_candles,102.15849056333333
1h,DEVELOPMENT,median_holding_candles,48.0
1h,DEVELOPMENT,max_holding_candles,960.0
1h,DEVELOPMENT,max_consecutive_wins,4
1h,DEVELOPMENT,max_consecutive_losses,11
1h,DEVELOPMENT,max_drawdown,10.632794707682958
1h,DEVELOPMENT,max_drawdown_pct,0.5316397353841479
1h,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-01 00:00:00+00:00
1h,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-26 21:00:00+00:00
1h,DEVELOPMENT,largest_win_net_pnl,0.340408431819225
1h,DEVELOPMENT,sum_of_winning_net_pnl,23.024717839298656
1h,DEVELOPMENT,months_with_closed_trades,8
1h,DEVELOPMENT,max_month_share_of_net,
1h,DEVELOPMENT,open_entry_fees,0.0
1h,DEVELOPMENT,unresolved_reserved,0.0
