investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
03_trend_regime,spread_Q2,full,4h,26340,0.0004820713504737643,0.0005352045158334429,0.004361695522507314,0.00413663695028349,0.010477541613254086,0.44791192103265,0.1926347760060744,0.04548215641609719,0.18477600607441155,0.18993925588458618,0.6252847380410023,90.0,130.0,155.0,0.00018411218287905928,-0.055540769950884944
03_trend_regime,spread_Q2,full,12h,26333,0.000934924268329242,0.0006727479385959523,0.008528432239456984,0.007909508229741014,0.02038612255784469,0.6859453917138192,0.4399043025861087,0.17662248889226445,0.37758705806402615,0.36551095583488397,0.2569019861010899,150.0,280.0,420.0,-0.00028217565571653225,-0.04657299516032398
03_trend_regime,spread_Q2,thinned144,15m,201,0.00011835213534097487,0.0001474621810204635,0.0011114497612516594,0.0009091782489502043,0.0025549620419597612,0.03980099502487562,0.0,0.0,0.0,0.0,1.0,12.5,,,0.00012590461800754404,-0.009833327005581078
03_trend_regime,spread_Q2,thinned144,30m,201,-0.00012064091637795881,-8.226014313261754e-05,0.0016501322437223465,0.0015665181728251598,0.0034229978242079568,0.08955223880597014,0.009950248756218905,0.0,0.009950248756218905,0.01990049751243781,0.9701492537313433,20.0,27.5,,-0.00011774968858946355,-0.017870506229400868
03_trend_regime,spread_Q2,thinned144,1h,201,-7.765055067120115e-06,-0.00023127683746571037,0.002217431387542046,0.0024578839544214803,0.005051701854525114,0.15920398009950248,0.014925373134328358,0.004975124378109453,0.014925373134328358,0.04975124378109453,0.9353233830845771,30.0,30.0,35.0,-0.0003122210305566142,-0.051293883227979065
03_trend_regime,spread_Q2,thinned144,2h,201,-5.695754847435779e-05,-0.00015879918136796345,0.003053443270745859,0.004269809985706252,0.008760649113835218,0.32338308457711445,0.07960199004975124,0.01990049751243781,0.07960199004975124,0.13930348258706468,0.7810945273631841,65.0,95.0,102.5,-0.0003749423473885516,-0.05438006719617841
03_trend_regime,spread_Q2,thinned144,4h,201,0.00043908692507922225,0.00010630731719718511,0.005191558651669981,0.00590623829028003,0.012904102702495302,0.5223880597014925,0.21890547263681592,0.05472636815920398,0.19900497512437812,0.263681592039801,0.5373134328358209,100.0,132.5,160.0,-0.00024478501575719847,-0.04131180090091838
03_trend_regime,spread_Q2,thinned144,12h,201,0.00010986333683657437,0.0006817656370015079,0.007837550911848679,0.009102205163621702,0.02111582097748956,0.681592039800995,0.417910447761194,0.16417910447761194,0.3383084577114428,0.39800995024875624,0.263681592039801,130.0,235.0,415.0,-0.0002731579573109766,-0.08585159551290733
03_trend_regime,spread_Q3,full,15m,26339,1.8538627715072864e-05,-1.4045854312083605e-05,0.00090745587698704,0.0009157351588471307,0.0022014453381122546,0.0358403887770986,0.004290216029462015,0.00018983256767531037,0.004290216029462015,0.005391244921978814,0.9903185390485592,10.0,15.0,10.0,-3.560341732500305e-05,-0.005543110976119064
03_trend_regime,spread_Q3,full,30m,26339,5.17687463662973e-05,-3.0329683661345364e-05,0.0013359521239031391,0.0013503457798559326,0.003271967190763278,0.09172709670070997,0.01738866319905843,0.0015945935684726071,0.017312730171988307,0.015870002657655948,0.9668172671703558,20.0,25.0,25.0,-6.581922911819138e-05,-0.010508024813631466
03_trend_regime,spread_Q3,full,1h,26339,8.049349759174913e-05,-6.908153664586525e-05,0.001970130981108209,0.0019855038466524144,0.004791123705780314,0.1837199589961654,0.05000189832567675,0.007555336193477353,0.04962223319032613,0.04263639469987471,0.9077413721097991,35.0,40.0,45.0,-0.0001500257297367691,-0.016597023171981293
03_trend_regime,spread_Q3,full,2h,26339,9.020087332430426e-05,2.0034459269346883e-07,0.002969797644216232,0.0028610044660345446,0.007226817429709802,0.3189566802080565,0.11317817684802005,0.02255210903982687,0.1111279851171267,0.09518204943240062,0.7936899654504727,55.0,70.0,75.0,-0.00021594282142789467,-0.022854072128802957
03_trend_regime,spread_Q3,full,4h,26339,0.0001714162437015445,9.868546738123207e-05,0.004616207375388148,0.0042371175007523965,0.010875590186452976,0.472796993052128,0.2234329321538403,0.061771517521546,0.21489046660845135,0.18523861953756787,0.5998709138539808,85.0,120.0,150.0,-0.0002524068655731515,-0.02542630941684515
03_trend_regime,spread_Q3,full,12h,26334,0.000860645398785433,0.0005854257831533483,0.009299672543644721,0.008047840921993954,0.021902996046853463,0.7025898078529658,0.4750512645249487,0.2129566340092656,0.41228070175438597,0.361395914027493,0.22632338421812107,145.0,260.0,370.0,-0.00036949781115913627,-0.011879351469964161
03_trend_regime,spread_Q3,thinned144,15m,204,4.327135409472354e-06,-3.1695649618190824e-05,0.0008673627728892352,0.0009942452438740368,0.002260531000248457,0.014705882352941176,0.004901960784313725,0.0,0.004901960784313725,0.0,0.9950980392156863,10.0,15.0,,-5.325321263111027e-05,-0.004931366221267353
03_trend_regime,spread_Q3,thinned144,30m,204,-6.619191945222054e-05,-0.00032837885527964294,0.001231806668845259,0.0016527110215511787,0.0036542579587925676,0.08823529411764706,0.024509803921568627,0.0,0.024509803921568627,0.004901960784313725,0.9705882352941176,25.0,25.0,,-0.00036386840073648896,-0.003310951064051146
03_trend_regime,spread_Q3,thinned144,1h,204,-0.00018643642986219275,-0.00013185490358147423,0.0019497661291287827,0.0025264351213208913,0.005145551225088701,0.16176470588235295,0.0392156862745098,0.0,0.0392156862745098,0.014705882352941176,0.946078431372549,30.0,30.0,,-0.00021279909667237806,-0.02700357008779762
03_trend_regime,spread_Q3,thinned144,2h,204,-0.0006754800725351528,-0.00017932585635088705,0.0036047127865511674,0.0040427516120633,0.00864314170986252,0.3431372549019608,0.12254901960784313,0.00980392156862745,0.12254901960784313,0.10784313725490197,0.7696078431372549,65.0,80.0,105.0,-0.0003954690223714752,-0.011433037638086521
03_trend_regime,spread_Q3,thinned144,4h,204,-0.0006349350876010902,-0.00040602592311717034,0.005399590813861321,0.00521501223402715,0.013047967293402298,0.5245098039215687,0.25,0.049019607843137254,0.24509803921568626,0.23529411764705882,0.5196078431372549,85.0,125.0,157.5,-0.0007571182560715539,0.004781263190389767
